"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Methods","CILabel","Enabled","Reference","TestKIR","Common","InstrumentPropertyAccessors","FlushEarly","Dedicated","Native","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3304.9545","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138668.52","138479.5","2870.271268130081","134469","148140","137872.92139520444","139464.11860479554","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14976.9825","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155652.7","156328.5","4442.340361538622","145272","166358","154421.34607435882","156884.0539256412","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1600.7362","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3304.9545","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139168.98","138772","3481.340150644547","133537","148959","138204.00174257002","140133.95825743","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14976.9825","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155817.32","155393.5","4469.389815632737","146436","166519","154578.4683482112","157056.1716517888","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1523.1387","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2968.9555","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139580.22","139479.5","2333.708123067979","135050","144853","138933.34911106047","140227.09088893954","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15036.365","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155850.42","156102.5","4796.3593893106645","147736","167893","154520.93700631778","157179.90299368225","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1523.1387","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2968.9555","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138804.92","138478.5","3189.372651766603","133859","151542","137920.87100432033","139688.9689956797","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15036.365","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154360.36","154488","4935.507900419373","143510","165726","152992.30700684534","155728.41299315463","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1386.3382","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2677.4789","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138370.06","138586","2331.9239793153893","132389","144796","137723.6836504777","139016.4363495223","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14779.9707","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153476.96","153298.5","4705.478951353693","145087","163777","152172.66777850874","154781.25222149125","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1386.3382","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2677.4789","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138440.72","138083","3399.454158105566","132215","147514","137498.43938168854","139383.00061831146","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14779.9707","50","False","500","True","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","True","True","2026-09-10 03:42:29","41b1d3bb0e9686871be8b6f4beb50fb14c7ee8f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.83","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
