"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Common","TestKIR","JS","Dedicated","Enabled","Methods","CILabel","InstrumentPropertyAccessors","Reference","FlushEarly","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2638.0531","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144155.28","143735","3373.2790444664865","138573","158943","143220.25475302673","145090.30524697326","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14324.2244","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140416.4","140289","4599.430887598586","130135","150180","139141.5028020738","141691.29719792618","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1464.3307","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2638.0531","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143898.52","143616.5","2646.8377839780574","138995","151342","143164.85399726534","144632.18600273464","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14324.2244","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141132.54","141337.5","4340.356094720753","132285","150449","139929.45467088217","142335.62532911784","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1402.447","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2906.501","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145152.16","143708","4482.617258263484","138382","165308","143909.64188817347","146394.67811182654","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","13794.6782","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142712.88","141855.5","4458.197945816407","134685","153473","141477.1305762514","143948.6294237486","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1402.447","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2906.501","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144564.16","143884.5","4278.734270023016","140098","168632","143378.1553692464","145750.1646307536","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","13794.6782","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141236.98","140302","4188.947174191059","132473","152055","140075.86308246214","142398.09691753789","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1260.7355","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2489.8071","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146143.1","144318.5","13127.267689424023","138579","234156","142504.40703935604","149781.79296064397","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13591.1264","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141102.94","142046","4139.558028316056","131502","150088","139955.5130552485","142250.3669447515","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1260.7355","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2489.8071","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144064.18","143651.5","4154.67427780974","139029","168292","142912.56304465944","145215.79695534054","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13591.1264","50","False","500","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","System.Boolean[]","True","2026-07-18 02:41:21","0bde8db5ca6219e68e92995a6029417a737d294b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.73","145","84","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
