"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","JVM","Reference","Common","Enabled","FlushEarly","TestKIR","InstrumentPropertyAccessors","Dedicated","Methods","CILabel","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"154694","173493","16328.519743075305","144042","173493","114156.71634272962","195231.28365727037","commonmain-plain-jar","2866.3168","3","False","20","True","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.String[]","ci-windows-small","True","2026-08-02 02:36:03","e002bb6e361b83efb820dc039bcfd08f36f59ce3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","0.09","139","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8014.2347","3","False","20","True","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.String[]","ci-windows-small","True","2026-08-02 02:36:03","e002bb6e361b83efb820dc039bcfd08f36f59ce3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","0.09","139","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"17084.333333333332","19187","2704.793029666657","14033","19187","10369.39750307818","23799.269163588484","commonmain-plain-win-exe","84675.1121","3","False","20","True","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.String[]","ci-windows-small","True","2026-08-02 02:36:03","e002bb6e361b83efb820dc039bcfd08f36f59ce3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","0.09","139","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"168082","288532","104312.76046582221","107846","288532","-90885.50143987825","427049.50143987825","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","5352.2432","3","False","20","True","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.String[]","ci-windows-small","True","2026-08-02 02:36:03","e002bb6e361b83efb820dc039bcfd08f36f59ce3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","0.09","139","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5425.5079","3","False","20","True","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.String[]","ci-windows-small","True","2026-08-02 02:36:03","e002bb6e361b83efb820dc039bcfd08f36f59ce3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","0.09","139","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"86376.33333333333","90302","3517.9915197926975","83509","90302","77642.54592420904","95110.12074245761","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","41849.8733","3","False","20","True","True","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","System.String[]","ci-windows-small","True","2026-08-02 02:36:03","e002bb6e361b83efb820dc039bcfd08f36f59ce3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.3","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","0.09","139","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
