"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Native","InstrumentPropertyAccessors","Enabled","Reference","TestKIR","Dedicated","JS","JVM","Common","FlushEarly","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4371.124","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231292.74","227765","10299.65164025523","224032","276435","228437.82222067603","234147.65777932396","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20129.7322","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"176351.66","176538.5","1948.4927886309813","171498","183869","175811.56535413786","176891.75464586215","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2923.8836","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4371.124","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234556.08","228493.5","23618.076020968452","224740","385193","228009.48332850158","241102.6766714984","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20129.7322","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178446.04","177663.5","5789.146463329249","172537","208614","176841.37046917115","180050.70953082887","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2322.3408","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3912.5031","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229554.42","227244","5903.5803494531165","223744","247199","227918.03101423586","231190.80898576416","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21798.3885","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"176437.56","176595.5","2596.1080537872026","171368","188172","175717.95556106584","177157.16443893415","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2322.3408","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3912.5031","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229279.96","227337","4860.650968245102","224917","247236","227932.65628983418","230627.2637101658","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21798.3885","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177423.94","176890.5","4106.985479767418","173046","201307","176285.54170507254","178562.33829492747","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3053.2045","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3497.5207","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229611.44","227083","7646.947693487825","223736","267507","227491.81424077792","231731.06575922208","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18702.375","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"176771.58","176459.5","2115.476518809097","172996","182520","176185.19982557878","177357.9601744212","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3053.2045","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3497.5207","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229184.06","227053","5697.781377780266","223999","248164","227604.71557882082","230763.40442117918","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18702.375","50","False","500","System.String[]","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","True","System.Boolean[]","ci-windows-large","2026-06-03 02:58:12","76897499f20f504b5c487ae0ce9683ac21834301","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","1.02","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
