"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","CILabel","Reference","JVM","Enabled","Dedicated","InstrumentPropertyAccessors","Native","TestKIR","JS","Methods","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"77350.66666666667","85237","6831.230660234899","73266","85237","60391.411366159584","94309.92196717375","commonmain-plain-jar","1856.1712","3","False","20","System.Boolean[]","ci-linux-small","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","2026-08-11 00:53:22","a7d27c8e689e8f67362adae0580039b92b38ce57","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","83","0.03","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6163.9789","3","False","20","System.Boolean[]","ci-linux-small","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","2026-08-11 00:53:22","a7d27c8e689e8f67362adae0580039b92b38ce57","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","83","0.03","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"8842.666666666666","9798","834.7558525301474","8254","9798","6770.296647153313","10915.03668618002","commonmain-plain-linux-exe","16324.8846","3","False","20","System.Boolean[]","ci-linux-small","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","2026-08-11 00:53:22","a7d27c8e689e8f67362adae0580039b92b38ce57","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","83","0.03","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110096","118184","7356.005505707564","103805","118184","91833.93543681328","128358.06456318672","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2357.4336","3","False","20","System.Boolean[]","ci-linux-small","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","2026-08-11 00:53:22","a7d27c8e689e8f67362adae0580039b92b38ce57","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","83","0.03","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3893.165","3","False","20","System.Boolean[]","ci-linux-small","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","2026-08-11 00:53:22","a7d27c8e689e8f67362adae0580039b92b38ce57","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","83","0.03","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"49952","58125","7078.026490484477","45862","58125","32380.047851666186","67523.95214833382","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","19508.901","3","False","20","System.Boolean[]","ci-linux-small","True","True","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","System.String[]","True","2026-08-11 00:53:22","a7d27c8e689e8f67362adae0580039b92b38ce57","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.82","145","83","0.03","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
