"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","CILabel","JVM","JS","Native","Methods","InstrumentPropertyAccessors","TestKIR","Common","FlushEarly","Enabled","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4886.493","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134659.14","134156.5","2976.38912182023","128268","142227","133834.12702685635","135484.15297314367","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","22153.9532","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155345.78","156085.5","4548.34294692662","143738","165479","154085.04365675393","156606.51634324607","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2406.471","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4886.493","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135008.64","134717.5","2883.8247686582017","129419","140708","134209.2845565286","135807.99544347142","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","22153.9532","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153819.38","153473.5","4531.174339337364","146118","164302","152563.4025519831","155075.3574480169","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2521.5208","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4660.1867","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135616.96","135363","3186.2911390607637","127520","142392","134733.76515606433","136500.15484393566","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","20628.049","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155075.72","155336","4257.414569660698","148113","167975","153895.62488868844","156255.81511131156","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2521.5208","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4660.1867","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135235.32","135257.5","3076.435098603312","127512","141845","134382.57569691975","136088.06430308026","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","20628.049","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154148.52","153671","6429.151914236165","145486","186022","152366.45000899272","155930.58999100726","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2228.7719","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3931.4672","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135550.22","135101.5","2950.8949475419436","130803","143811","134732.2736514334","136368.1663485666","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","20147.386","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155549.36","154153","5368.2780455074735","147547","170401","154061.3492427649","157037.37075723507","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2228.7719","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3931.4672","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136000.58","136111","2418.6016291254255","130698","141021","135330.17783172618","136670.9821682738","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","20147.386","50","False","500","True","ci-linux-large","True","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","False","2026-08-03 03:15:17","cb6b687b6fbb2c3651d22a285b3faa2f38592723","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","83","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
