"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","JS","Common","FlushEarly","CILabel","Enabled","InstrumentPropertyAccessors","Dedicated","Methods","Reference","TestKIR","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"179501.33333333334","185413","5211.948228190044","175569","185413","166562.11856937731","192440.54809728937","commonmain-plain-jar","4353.8177","3","False","20","True","True","True","System.Boolean[]","ci-windows-small","System.Boolean[]","System.Boolean[]","False","System.String[]","True","System.Boolean[]","True","2026-08-25 01:07:30","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32","High performance","0.29","137","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","9269.4857","3","False","20","True","True","True","System.Boolean[]","ci-windows-small","System.Boolean[]","System.Boolean[]","False","System.String[]","True","System.Boolean[]","True","2026-08-25 01:07:30","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32","High performance","0.29","137","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"12391.333333333334","13557","1033.7264306059574","11586","13557","9824.997731524578","14957.66893514209","commonmain-plain-win-exe","173115.1263","3","False","20","True","True","True","System.Boolean[]","ci-windows-small","System.Boolean[]","System.Boolean[]","False","System.String[]","True","System.Boolean[]","True","2026-08-25 01:07:30","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32","High performance","0.29","137","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"130755","142485","10624.756185437856","121777","142485","104377.91487193224","157132.08512806776","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","6297.7234","3","False","20","True","True","True","System.Boolean[]","ci-windows-small","System.Boolean[]","System.Boolean[]","False","System.String[]","True","System.Boolean[]","True","2026-08-25 01:07:30","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32","High performance","0.29","137","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","6178.2043","3","False","20","True","True","True","System.Boolean[]","ci-windows-small","System.Boolean[]","System.Boolean[]","False","System.String[]","True","System.Boolean[]","True","2026-08-25 01:07:30","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32","High performance","0.29","137","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"80431","89670","8096.953933424594","74570","89670","60329.45230776164","100532.54769223835","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","101202.8195","3","False","20","True","True","True","System.Boolean[]","ci-windows-small","System.Boolean[]","System.Boolean[]","False","System.String[]","True","System.Boolean[]","True","2026-08-25 01:07:30","bfaeafae946c1a50b9e6d0b1a71cabed77c6d277","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.35","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32","High performance","0.29","137","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
