"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","InstrumentPropertyAccessors","JS","Enabled","FlushEarly","Common","Methods","Dedicated","CILabel","TestKIR","Native","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"110495.66666666667","123648","21781.938075693204","85353","123648","56419.69307733178","164571.64025600156","commonmain-plain-jar","2062.7925","3","False","20","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","ci-linux-small","System.Boolean[]","True","True","2026-07-18 01:22:27","3709e1876165e3d15c6a504ba30bd361c2788cc1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.03","145","84","0.02","167","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6097.3123","3","False","20","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","ci-linux-small","System.Boolean[]","True","True","2026-07-18 01:22:27","3709e1876165e3d15c6a504ba30bd361c2788cc1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.03","145","84","0.02","167","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"11627","12033","352.6414609770099","11397","12033","10751.530137583251","12502.469862416749","commonmain-plain-linux-exe","17136.4482","3","False","20","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","ci-linux-small","System.Boolean[]","True","True","2026-07-18 01:22:27","3709e1876165e3d15c6a504ba30bd361c2788cc1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.03","145","84","0.02","167","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"184753.33333333334","225055","61285.88748099625","114226","225055","32604.61170421666","336902.05496245006","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2235.7924","3","False","20","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","ci-linux-small","System.Boolean[]","True","True","2026-07-18 01:22:27","3709e1876165e3d15c6a504ba30bd361c2788cc1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.03","145","84","0.02","167","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4229.7484","3","False","20","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","ci-linux-small","System.Boolean[]","True","True","2026-07-18 01:22:27","3709e1876165e3d15c6a504ba30bd361c2788cc1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.03","145","84","0.02","167","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"46410.333333333336","47036","543.0712046622739","46061","47036","45062.10141666947","47758.5652499972","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","19411.8069","3","False","20","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","ci-linux-small","System.Boolean[]","True","True","2026-07-18 01:22:27","3709e1876165e3d15c6a504ba30bd361c2788cc1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.03","145","84","0.02","167","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
