"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","FlushEarly","InstrumentPropertyAccessors","Dedicated","JS","JVM","CILabel","Native","TestKIR","Methods","Common","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2663.2206","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136671.04","136596.5","2965.70039193002","131698","149461","135848.98979162428","137493.09020837574","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16390.7682","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155759.84","154161.5","5255.631616481816","147739","174947","154303.05323987038","157216.6267601296","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1731.0489","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2663.2206","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137170.24","136670.5","2891.3616420825188","132282","144899","136368.79544180015","137971.68455819984","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16390.7682","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154033.44","154055.5","5096.216692602384","142813","171383","152620.8408023598","155446.0391976402","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1987.0781","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3083.4626","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137909.22","136461","5914.80775228837","132456","173665","136269.7189369453","139548.7210630547","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14262.7163","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154196.2","153233","4756.510416990462","146402","170796","152877.76257790974","155514.63742209028","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1987.0781","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3083.4626","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136749.36","136246.5","3355.966059763673","131310","152338","135819.13366755","137679.58633244998","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14262.7163","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153683.44","154095","5067.0150620640225","142546","167494","152278.93508138214","155087.94491861787","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1427.96","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2744.4755","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137938.28","137857.5","3275.107781619483","130428","147552","137030.466438772","138846.093561228","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14285.959","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154434.74","154411","5288.822321014888","145049","164537","152968.75324594928","155900.7267540507","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1427.96","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2744.4755","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137788.56","137834","2294.216438733517","133305","143239","137152.63564747546","138424.48435252454","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14285.959","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","System.String[]","True","True","2026-07-04 03:23:56","cdafe28e5b5700d5ab13345ca8009db43b8891a0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","85","0.03","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
