"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Enabled","Reference","JVM","JS","Common","InstrumentPropertyAccessors","TestKIR","Native","CILabel","Dedicated","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3352.3163","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137510.58","136613","5521.280756069821","132296","164548","135980.1590551269","139041.00094487309","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15512.7667","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153770.84","154246.5","4530.739942090821","144231","164096","152514.9829607567","155026.6970392433","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1846.2091","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3352.3163","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137543.88","137030.5","2554.5911261962883","133073","147309","136835.78346627098","138251.97653372903","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15512.7667","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154417.34","153682","5501.466022093102","145187","173999","152892.41141916974","155942.26858083025","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1708.8276","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3098.0683","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136810.28","136593","3569.6296786149924","131153","150158","135820.82913398722","137799.73086601277","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14898.5239","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154396.28","155021.5","5449.272316295347","144797","165714","152885.81877630524","155906.74122369476","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1708.8276","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3098.0683","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137041.6","137082","3287.3405354356532","131755","152020","136130.39569240704","137952.80430759297","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14898.5239","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153594.94","153702.5","4452.25971247713","143830","163821","152360.83657055587","154829.04342944414","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1414.7424","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2362.5133","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136337.88","136189.5","2036.788114174083","132404","140682","135773.31113854994","136902.44886145007","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14196.2135","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154038.6","153711","4120.4439279360795","145435","164506","152896.47121356652","155180.7287864335","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1414.7424","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2362.5133","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137049.4","137220.5","2408.65445544069","132231","141130","136381.7550476009","137717.0449523991","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14196.2135","50","False","500","System.Boolean[]","System.Boolean[]","True","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","False","System.String[]","2026-07-05 03:40:19","379f64460da86ad9f2677e08a1e1632ab248f992","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.51","145","85","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
