"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","TestKIR","FlushEarly","Reference","Enabled","Common","JS","Methods","JVM","CILabel","Native","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5647.7869","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229613.2","226708","9390.47472882245","220838","272262","227010.29320315","232216.10679685","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","19208.2546","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205566.08","201111.5","14754.633358524698","185443","244807","201476.30428972022","209655.85571027975","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2995.2408","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5647.7869","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"255099.92","252183.5","16216.444362084168","230344","306349","250604.9509521357","259594.88904786433","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","19208.2546","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224405.54","211921","23808.475220708737","201609","291253","217806.1673629162","231004.91263708382","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2505.6572","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3480.2212","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237256.1","233914.5","11680.873344567895","226533","277988","234018.32709716694","240493.87290283307","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18153.552","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"217351.46","212462","12425.197752641401","201129","244525","213907.37089731716","220795.54910268282","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2505.6572","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3480.2212","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"251389.04","241010.5","21905.47671521477","229142","289023","245317.15163686266","257460.92836313735","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18153.552","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224760.3","221723.5","17684.968567534797","198538","273840","219858.27680992347","229662.3231900765","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2090.909","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3199.2883","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248602.3","237883","22373.972516597703","228360","308402","242400.55122608147","254804.0487739185","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17908.2985","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218776.88","216380.5","12396.184081451212","201224","250771","215340.83307666628","222212.92692333373","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2090.909","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3199.2883","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"250030.2","238586","26957.31994188183","225798","363736","242558.01213646017","257502.38786353986","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17908.2985","50","False","500","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.String[]","True","ci-windows-large","True","System.Boolean[]","2026-09-26 02:46:07","9b3cf553bd1f1c48d8d27917fcceb9ccca1d757f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.78","High performance","0.08","143","True","False","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
