"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","JVM","FlushEarly","Common","Methods","CILabel","Reference","Enabled","TestKIR","JS","InstrumentPropertyAccessors","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"216890.9","194542.5","46513.94915473624","182552","341766","203997.8910841045","229783.90891589547","commonmain-plain-jar","2510.3581","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7627.7489","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240417.24","237495.5","8379.877736578259","229081","256861","238094.4563977649","242740.02360223507","commonmain-plain-win-exe","99651.638","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"196974.34","194345.5","8073.726392542209","183888","217220","194736.41722080833","199212.26277919166","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3045.7455","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4234.2985","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"255356.36","242982","29445.626446848553","234268","349032","247194.44876235377","263518.2712376462","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27190.7684","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194619.88","190613.5","8895.093794781435","184663","218611","192154.2857925005","197085.4742074995","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3045.7455","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4234.2985","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232125.44","230440.5","5243.845034058929","226037","247167","230671.92031383482","233578.95968616518","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","27190.7684","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193512.52","190557","8706.354899867625","183856","222867","191099.24154506763","195925.79845493234","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3000.8808","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
