"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","TestKIR","Enabled","Dedicated","FlushEarly","Native","InstrumentPropertyAccessors","Reference","CILabel","Common","Methods","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5204.9838","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232378.22","228624","11053.58750571644","219791","282460","229314.32186076144","235442.11813923856","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25593.3274","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206177.28","203761.5","12709.840609864597","191165","250303","202654.29192265013","209700.26807734987","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3120.7238","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5204.9838","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236050.54","232271","14218.841550174879","220570","280478","232109.2782019477","239991.80179805233","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25593.3274","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"212885.28","206870","19386.02802255863","190079","272826","207511.74718499073","218258.81281500927","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3572.1901","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4296.3479","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231871.04","227204.5","13916.880290452153","220601","291203","228013.47759287467","235728.60240712535","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19896.7425","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202701.08","194414","20955.077242481533","183123","257661","196892.62893036893","208509.53106963105","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3572.1901","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4296.3479","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221425.16","218633.5","8596.331259132276","215322","260220","219042.37854234994","223807.94145765007","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19896.7425","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197260.04","190622","16077.94651188962","183217","239068","192803.4605976042","201716.61940239582","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3026.1882","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5260.2174","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"244045.02","240626","14079.337412647787","228581","307247","240142.4267760341","247947.6132239659","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19709.2768","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"211763.72","212298","17217.555642057523","188709","249178","206991.25706281743","216536.18293718257","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3026.1882","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5260.2174","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"238008.38","232550","17594.09740061845","217627","291653","233131.54501231312","242885.2149876869","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19709.2768","50","False","500","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","System.String[]","True","2026-08-08 01:02:19","1cc459fd949b48cd8b5d016c62ca22011ff3d591","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.93","High performance","0.09","140","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
