"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Reference","JS","JVM","Enabled","FlushEarly","Dedicated","TestKIR","Native","InstrumentPropertyAccessors","CILabel","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4355.8489","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138402.02","138056","4070.096747032444","131453","158196","137273.8467401145","139530.19325988548","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19308.093","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154549.56","154291.5","5393.968241868477","145163","168071","153054.4282836386","156044.69171636138","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2256.8854","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4355.8489","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137518.26","137539","2688.401222865002","131767","143750","136773.07319978668","138263.44680021334","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19308.093","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155485.74","155223","5473.32313640536","146612","167282","153968.61222909202","157002.86777090796","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2494.1306","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3452.4165","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138209.46","137364.5","4131.009365266359","133385","154237","137064.4026237526","139354.5173762474","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15243.8616","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154978.44","154470","5964.163900073403","143323","173453","153325.25811076284","156631.62188923717","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2494.1306","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3452.4165","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136904.28","136766","2564.5282817226057","130871","142329","136193.4290272881","137615.1309727119","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15243.8616","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156452.42","155585","5590.645379450883","143268","171714","154902.7721624646","158002.06783753543","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1485.2252","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3064.3753","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138361.82","138526.5","2848.266165689619","132029","143249","137572.32089840973","139151.31910159028","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14160.7223","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155696.66","156497.5","5115.662167564729","145999","166807","154278.67079169376","157114.64920830625","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1485.2252","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3064.3753","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138457.98","138129.5","3323.5862023557925","132141","151715","137536.72890611482","139379.2310938852","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14160.7223","50","False","500","System.String[]","True","True","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-05-11 03:48:38","95935c2db93edb43e6dc70e6007eba818ec3e4d0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","86","0.02","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
