"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","CILabel","JS","TestKIR","InstrumentPropertyAccessors","Methods","Enabled","Native","FlushEarly","Dedicated","JVM","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4567.0055","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223757.02","222943","4050.449491257049","219863","244384","222634.2926815684","224879.7473184316","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24366.1194","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191617.1","190323","5151.004317566802","185656","213802","190189.31444751393","193044.88555248608","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2434.1678","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4567.0055","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227279.66","223698","7897.035133671937","221051","255937","225090.71353903916","229468.60646096084","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24366.1194","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193861.82","191266.5","7279.441158439546","187280","225326","191844.06185509864","195879.57814490137","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5024.225","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4725.6713","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225291.34","223261.5","6753.828291889462","220237","256105","223419.27430860748","227163.40569139252","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26774.6179","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192595.44","192226","4238.528177159075","185837","210231","191420.57992960277","193770.30007039724","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5024.225","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4725.6713","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227061.84","224028","9640.07245158649","219482","266278","224389.7482441546","229733.9317558454","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26774.6179","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193154.58","191515.5","5303.071732457693","186545","215409","191684.64351060928","194624.5164893907","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2297.025","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3374.2539","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228616.52","223633","24071.673099427764","220499","391320","221944.1926330204","235288.84736697958","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19794.5418","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194973.58","193213.5","5863.6784445971","186594","217943","193348.25125797818","196598.9087420218","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2297.025","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3374.2539","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223566.44","222786.5","3605.356356244165","219339","235752","222567.08620418704","224565.79379581296","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19794.5418","50","False","500","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-06-22 02:58:56","64e84ac8db1e5af33204e689685be1e15a098153","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.41","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.25","137","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
