"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Dedicated","InstrumentPropertyAccessors","Enabled","Methods","Native","JS","JVM","Common","TestKIR","CILabel","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3159.0355","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138090.64","137340.5","2929.9486570691347","133376","145227","137278.49966693475","138902.78033306528","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19941.7674","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154839.22","156408.5","5277.037837496274","140874","166035","153376.49973812714","156301.94026187286","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1766.5083","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3159.0355","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137704.78","137289","2780.4818499603957","133625","147127","136934.06975213933","138475.49024786067","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19941.7674","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154719.1","154309.5","4113.379484768489","147485","165286","153578.9293773088","155859.2706226912","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2033.7859","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2890.5191","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137318.24","137019.5","2751.553057263984","132217","146882","136555.5484043703","138080.9315956297","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14966.2459","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154186.32","153282.5","4311.5576636926635","146317","166186","152991.21718870223","155381.4228112978","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2033.7859","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2890.5191","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137601.56","137577.5","2857.273419588282","131053","143967","136809.5642150076","138393.5557849924","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14966.2459","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155097.16","154384","4611.474377361456","145945","163652","153818.9245170279","156375.39548297212","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1496.4431","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2388.9315","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137730.24","137962.5","2446.8995255554046","131978","143285","137051.99405501827","138408.48594498172","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14723.5366","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155987.9","154762.5","4925.064442756675","149432","173806","154622.74178562043","157353.05821437956","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1496.4431","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2388.9315","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138056.28","137495.5","2760.016164105284","132923","144836","137291.24255083725","138821.31744916274","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14723.5366","50","False","500","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.String[]","True","True","True","True","System.Boolean[]","ci-linux-large","True","2026-07-09 03:37:42","746a309ed09e9ce4814725f4245bae03e8d5c7d8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","85","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
