"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","JVM","Native","Enabled","TestKIR","Methods","Reference","Dedicated","InstrumentPropertyAccessors","CILabel","Common","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"41213","42881","2368.501002744141","38502","42881","35332.94482650602","47093.05517349398","commonmain-plain-jar","1658.243","3","False","20","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","False","System.Boolean[]","ci-linux-small","True","True","2026-07-05 01:57:52","96c6585d582f6fb4a4876230a03d0d37b1f0b52b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","4828.3376","3","False","20","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","False","System.Boolean[]","ci-linux-small","True","True","2026-07-05 01:57:52","96c6585d582f6fb4a4876230a03d0d37b1f0b52b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"7298","7889","519.2465695601657","6915","7889","6008.915269141189","8587.08473085881","commonmain-plain-linux-exe","13026.6723","3","False","20","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","False","System.Boolean[]","ci-linux-small","True","True","2026-07-05 01:57:52","96c6585d582f6fb4a4876230a03d0d37b1f0b52b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"72492","77071","5194.690654889856","66847","77071","59595.62899378278","85388.37100621722","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1821.6301","3","False","20","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","False","System.Boolean[]","ci-linux-small","True","True","2026-07-05 01:57:52","96c6585d582f6fb4a4876230a03d0d37b1f0b52b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2940.9578","3","False","20","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","False","System.Boolean[]","ci-linux-small","True","True","2026-07-05 01:57:52","96c6585d582f6fb4a4876230a03d0d37b1f0b52b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"39180.333333333336","44499","4725.1536835676925","35467","44499","27449.637703301654","50911.02896336502","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14884.8481","3","False","20","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","False","System.Boolean[]","ci-linux-small","True","True","2026-07-05 01:57:52","96c6585d582f6fb4a4876230a03d0d37b1f0b52b","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","85","0.02","161","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
