"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","FlushEarly","JS","Enabled","InstrumentPropertyAccessors","Methods","Native","Common","TestKIR","Reference","CILabel","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"73205.33333333333","79469","5425.300206747396","69980","79469","59736.44963369272","86674.21703297393","commonmain-plain-jar","1899.0311","3","False","20","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","ci-linux-small","True","2026-06-17 02:38:38","44601e5d9167c56343ae6b790ccb5b87a86846da","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.84","145","85","0.03","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6204.1807","3","False","20","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","ci-linux-small","True","2026-06-17 02:38:38","44601e5d9167c56343ae6b790ccb5b87a86846da","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.84","145","85","0.03","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"12147","13340","1089.0899870993214","11206","13340","9443.218491938867","14850.781508061133","commonmain-plain-linux-exe","17437.5345","3","False","20","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","ci-linux-small","True","2026-06-17 02:38:38","44601e5d9167c56343ae6b790ccb5b87a86846da","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.84","145","85","0.03","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"149333.33333333334","186972","36527.93612200576","114028","186972","58648.85419551296","240017.81247115374","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2270.4187","3","False","20","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","ci-linux-small","True","2026-06-17 02:38:38","44601e5d9167c56343ae6b790ccb5b87a86846da","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.84","145","85","0.03","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4693.2165","3","False","20","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","ci-linux-small","True","2026-06-17 02:38:38","44601e5d9167c56343ae6b790ccb5b87a86846da","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.84","145","85","0.03","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"45676.666666666664","47351","1654.3749071275633","44043","47351","41569.50533539282","49783.827997940505","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","19929.27","3","False","20","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","True","True","System.Boolean[]","True","ci-linux-small","True","2026-06-17 02:38:38","44601e5d9167c56343ae6b790ccb5b87a86846da","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.84","145","85","0.03","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
