"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Common","Enabled","Native","JVM","TestKIR","Dedicated","Reference","JS","Methods","InstrumentPropertyAccessors","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3047.9154","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"132285.38","132361","1905.7638019911053","128076","137600","131757.12922497073","132813.63077502928","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15340.153","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151454.52","151774.5","4820.479471621731","141643","162339","150118.35126060192","152790.68873939806","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1755.7169","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3047.9154","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134254.02","132416.5","13054.973984435423","127990","223582","130635.36583201756","137872.67416798242","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15340.153","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152272.76","152678.5","4389.5053626780755","143823","165352","151056.0511888623","153489.46881113772","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2244.0125","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4373.5805","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133363.76","132812.5","3238.5788742746345","127795","141355","132466.07173530443","134261.4482646956","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18884.7821","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153253.02","153439.5","5124.398379780195","141762","165802","151832.60923721315","154673.43076278683","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2244.0125","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4373.5805","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133240.24","132777","2809.3878740641658","128014","141638","132461.51741104026","134018.96258895972","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18884.7821","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152248.26","151614.5","5467.0088482960155","140019","167224","150732.8824604607","153763.6375395393","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1856.796","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2500.9948","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133443.9","133460","2827.7967355435962","127687","142358","132660.07473497212","134227.72526502787","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18935.4933","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151350.1","151130","4127.408206126454","144243","161030","150206.04081413941","152494.1591858606","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1856.796","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2500.9948","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133452.44","133052","2668.59088521509","127205","138486","132712.7443452299","134192.1356547701","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18935.4933","50","False","500","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","ci-linux-large","2026-06-27 03:41:12","918e3caa3cb6c6442cb3bb1b5703dbc86831985d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.86","145","85","0.02","163","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
