"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","TestKIR","Dedicated","Common","Methods","Enabled","InstrumentPropertyAccessors","Reference","Native","JVM","JS","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4845.1648","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"262593.24","259587.5","17125.507468792668","234686","302523","257846.29151472187","267340.1884852781","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25543.802","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187995.1","179463.5","15670.919704265963","173927","241883","183651.342672596","192338.85732740402","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4833.9842","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4845.1648","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"262901.26","263911.5","15385.859357069085","238414","311174","258636.51736957973","267166.0026304203","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25543.802","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205552.34","207823","18423.640398550506","183392","273370","200445.56742449666","210659.11257550333","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4622.0641","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","7971.0074","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"264984.96","260211.5","26222.792885828567","235874","414246","257716.3726488819","272253.5473511182","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26307.2252","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"207473.4","207011.5","4689.6781535275395","200197","225298","206173.48753621485","208773.31246378514","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4622.0641","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","7971.0074","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"255743.88","255114.5","13956.111806689438","234987","288352","251875.44317137697","259612.31682862304","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26307.2252","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"207001.78","204935.5","8479.76388121889","198749","247375","204651.3093710379","209352.2506289621","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4232.6663","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5264.5855","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"261943.26","261322","14914.230076264585","235887","304425","257809.2463365436","266077.2736634564","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","26731.8218","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235368.18","231778.5","19892.333827115104","204695","282209","229854.30637603038","240882.0536239696","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4232.6663","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5264.5855","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"291670.18","288967.5","16934.987797504687","257225","344057","286976.0408733166","296364.3191266834","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","26731.8218","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","True","ci-windows-large","2026-05-06 12:55:35","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.91","High performance","1.24","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
