"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","JVM","Reference","TestKIR","Dedicated","Enabled","FlushEarly","JS","Methods","Common","InstrumentPropertyAccessors","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4916.1992","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237405.56","233601","17208.626308776133","217927","274256","232635.5721477264","242175.5478522736","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24614.0116","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231247.78","229395","9845.786193440257","207692","252506","228518.66730407017","233976.89269592983","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3137.5672","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4916.1992","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"245199.02","238727.5","18237.80520326514","220928","289553","240143.75831259027","250254.2816874097","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24614.0116","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"253057.96","253086","14412.843427715317","222361","279344","249062.92362502436","257052.99637497563","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4382.1849","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4526.5954","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"276492.26","276661","10315.394999332058","252548","296486","273632.97838417895","279351.5416158211","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","27934.5574","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216697.3","217710.5","19168.467161364948","186145","277708","211384.07197901688","222010.5280209831","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4382.1849","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4526.5954","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227904.88","221297.5","22992.231594597164","216025","332334","221531.7585529407","234278.0014470593","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","27934.5574","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190367.72","190160","4208.18066772862","182148","203070","189201.27183004926","191534.16816995075","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","5150.9132","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","6202.5891","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"458295.98","332608","639947.9376933876","234450","4398727","280911.4616710585","635680.4983289414","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","35205.0577","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222172.88","221942","5773.517976246442","209384","235582","220572.54246477594","223773.21753522407","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","5150.9132","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","6202.5891","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"250207.4","250448.5","14140.695386012669","227894","287566","246287.799213528","254127.000786472","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","35205.0577","50","False","500","ci-windows-large","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","2026-08-02 02:00:34","499d8f10dc10a135cf614d0014d50b31904969a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.07","High performance","0.35","136","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
