"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Dedicated","Reference","TestKIR","InstrumentPropertyAccessors","Methods","CILabel","FlushEarly","JS","Common","JVM","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3254.4371","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137479.16","137237.5","2742.344433926146","132788","145220","136719.02090453327","138239.29909546673","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15149.3329","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153753.4","153302","5462.829482894709","143896","173412","152239.1809214463","155267.6190785537","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1862.0132","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3254.4371","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138201.18","138195","2560.8241713023813","132987","144483","137491.3557543139","138911.00424568608","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15149.3329","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153650.54","153481","4441.171252068994","146544","164052","152419.5101349705","154881.5698650295","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1929.5005","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2940.9","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140771.88","137920","17196.93186641033","133825","258112","136005.13368177004","145538.62631822997","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14493.0271","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154700.6","154470","5182.851630175049","146125","165946","153263.98682283645","156137.21317716356","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1929.5005","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2940.9","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137878.08","137455","2733.9463652682116","133292","147700","137120.26873040164","138635.89126959833","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14493.0271","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153729.38","153420.5","4858.325414404113","141653","166617","152382.72090047147","155076.03909952854","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1359.9266","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2673.834","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137591.46","137127.5","3285.3768473311543","131493","150373","136680.79999897955","138502.12000102043","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14166.4531","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153681.08","153242","4389.869064292539","145943","164218","152464.27037591813","154897.88962408184","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1359.9266","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2673.834","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138196.38","138038","3293.7764622489653","133084","147768","137283.3917445098","139109.3682554902","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14166.4531","50","False","500","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","2026-07-06 03:49:01","35ad3cff6eecdfe6349c328d66bf1a3925f2b6d6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.87","145","85","0.02","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
