"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","JS","Enabled","Common","CILabel","Methods","InstrumentPropertyAccessors","TestKIR","Reference","JVM","Native","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4679.3615","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228752.06","227950","3759.642880402774","224852","244335","227709.94016157556","229794.17983842443","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","19417.6599","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179634.32","179211","2931.7156879721542","174394","191445","178821.68987095737","180446.95012904264","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3340.2592","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4679.3615","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230109.14","228467.5","4939.768663549717","225084","248103","228739.9059835604","231478.37401643963","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","19417.6599","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177975.58","177651.5","4529.7143717223225","173872","206070","176720.00723435945","179231.15276564052","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2656.5302","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3335.1944","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228502.3","227012","4462.282985062187","223895","247670","227265.41826114216","229739.18173885782","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","17742.6817","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177993.66","176864","3974.5818294224996","173759","192610","176891.96212452554","179095.35787547447","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2656.5302","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3335.1944","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230914.36","227105.5","15132.142618780133","224848","330649","226719.9440614284","235108.77593857158","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","17742.6817","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"176659.04","176003.5","3287.5020847979736","172595","193198","175747.7909132084","177570.28908679163","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1992.5163","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3004.3945","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228397.18","226841","4586.959727135976","222973","246041","227125.7396313897","229668.62036861028","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17426.2084","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178093.66","177068.5","5185.331558525137","171910","198759","176656.35942176837","179530.96057823164","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1992.5163","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3004.3945","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230142.94","227931.5","5599.519528987305","224244","249019","228590.8323737093","231695.0476262907","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17426.2084","50","False","500","False","True","System.Boolean[]","True","ci-windows-large","System.String[]","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-12 02:14:09","2458baac14fc03ebc469f38105a2fe53a69f1908","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.03","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.47","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
