"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","InstrumentPropertyAccessors","JS","Common","Methods","JVM","CILabel","Native","Enabled","Reference","FlushEarly","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2288.0362","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"119844.5","114028","39823.95628479759","109478","395149","108805.86249927846","130883.13750072154","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","11375.2603","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109827.52","109359","4099.328706816595","99535","126000","108691.24405425414","110963.79594574586","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1253.9788","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2288.0362","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113885.86","113265","4136.402419978018","108808","137507","112739.3077452539","115032.4122547461","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","11375.2603","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"108710.54","108535","3102.0243568695983","101902","117582","107850.70271640585","109570.37728359413","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1165.3991","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2246.743","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114252.06","113750","3663.99478327095","109208","131365","113236.45246146666","115267.66753853334","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","10927.4858","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"108340.28","107938.5","3587.199169154631","99518","116225","107345.95911967341","109334.60088032659","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1165.3991","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2246.743","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113609.66","113701","1931.1841097405204","108860","118922","113074.36307515085","114144.95692484916","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","10927.4858","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"108826.04","108502.5","3191.197311994612","103594","115751","107941.48523430905","109710.59476569094","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1275.2133","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2066.2101","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113255.7","112695.5","2394.6627665093306","110190","121094","112591.93334590536","113919.46665409463","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","10862.8349","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"108531.78","107969","3265.2012051014435","102696","116665","107626.71240168624","109436.84759831376","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1275.2133","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2066.2101","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114648.16","113383","6562.284844628493","110017","156297","112829.18744342391","116467.13255657609","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","10862.8349","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","False","2026-08-29 06:12:39","cec24cdd5194c087dfeb44299898930d5b39f5e9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","82","0.1","149","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
