"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Common","Methods","JS","Enabled","Reference","InstrumentPropertyAccessors","Dedicated","JVM","Native","CILabel","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3703.6345","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145047.02","144901","3584.725370120237","139214","159985","144053.38482178183","146040.65517821815","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18672.6663","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142615.94","142710","4135.736276329397","135307","157746","141469.57239085285","143762.30760914716","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2762.0883","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3703.6345","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143703.44","143285.5","3070.153882735109","137046","151558","142852.43676113087","144554.44323886913","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18672.6663","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141990.9","141459","3582.623188135094","134125","150873","140997.84751689952","142983.95248310047","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1955.8153","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3289.6856","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143942.56","143422","3899.4458013352387","139640","163203","142861.6887689545","145023.43123104548","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17795.5412","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142238.86","141987","5023.099100340021","132540","154167","140846.52796492237","143631.1920350776","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1955.8153","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3289.6856","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144791.02","144491","3458.5784238437545","139412","160479","143832.35097134794","145749.68902865204","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17795.5412","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142599.38","142927.5","5029.398300076892","134677","154840","141205.3019158372","143993.45808416282","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2379.243","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4635.7371","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143878.38","143870","2895.4004967062037","138797","154390","143075.81592841505","144680.94407158496","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14714.1721","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142134.88","141080","4420.29561593395","132003","154058","140909.6365660886","143360.12343391142","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2379.243","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4635.7371","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143919.82","144156.5","2740.7176081740163","138104","150460","143160.13183762558","144679.50816237443","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14714.1721","50","False","500","System.Boolean[]","True","System.String[]","True","System.Boolean[]","True","System.Boolean[]","False","True","True","ci-linux-large","System.Boolean[]","2026-07-24 02:50:48","6715e08743f2792a96c26624dfcc8cb7304486c3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.86","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
