"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Dedicated","Common","Enabled","TestKIR","JVM","CILabel","Native","Reference","FlushEarly","InstrumentPropertyAccessors","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3108.4065","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-11 02:49:57","f758686cb219142d81b2593ff67b8ce7a34f0b14","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145340.56","145076.5","3204.3834145986816","140496","161666","144452.3502331421","146228.7697668579","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14392.1486","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-11 02:49:57","f758686cb219142d81b2593ff67b8ce7a34f0b14","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141826.28","141860","3546.126435353117","135174","150097","140843.34390064183","142809.21609935816","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1793.4197","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-11 02:49:57","f758686cb219142d81b2593ff67b8ce7a34f0b14","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3108.4065","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-11 02:49:57","f758686cb219142d81b2593ff67b8ce7a34f0b14","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145489.98","144807","5124.694565273812","139409","175820","144069.48713878295","146910.47286121707","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14392.1486","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-11 02:49:57","f758686cb219142d81b2593ff67b8ce7a34f0b14","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142257.88","141818.5","4275.084850047077","134930","151254","141072.88693685445","143442.87306314555","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1435.1701","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-11 02:49:57","f758686cb219142d81b2593ff67b8ce7a34f0b14","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2759.4938","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-11 02:49:57","f758686cb219142d81b2593ff67b8ce7a34f0b14","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144407","144072","3785.659212537413","139551","163200","143357.66880222497","145456.33119777503","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14178.5681","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-11 02:49:57","f758686cb219142d81b2593ff67b8ce7a34f0b14","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141567.72","141267","3941.35021948736","133424","150367","140475.2334568456","142660.2065431544","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1435.1701","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-11 02:49:57","f758686cb219142d81b2593ff67b8ce7a34f0b14","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2759.4938","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-11 02:49:57","f758686cb219142d81b2593ff67b8ce7a34f0b14","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145132.44","144607.5","3078.664447782645","139559","157320","144279.07775285418","145985.80224714582","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14178.5681","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-11 02:49:57","f758686cb219142d81b2593ff67b8ce7a34f0b14","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141843.84","141605","4199.246838981233","133977","153864","140679.86816103783","143007.81183896217","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1295.5978","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-11 02:49:57","f758686cb219142d81b2593ff67b8ce7a34f0b14","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2464.5449","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-11 02:49:57","f758686cb219142d81b2593ff67b8ce7a34f0b14","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144353.08","143774.5","2628.440624385182","140044","152341","143624.513429736","145081.64657026398","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14173.8044","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-11 02:49:57","f758686cb219142d81b2593ff67b8ce7a34f0b14","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142132.24","141909.5","4029.3852347220313","128374","148585","141015.3513955939","143249.12860440608","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1295.5978","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-11 02:49:57","f758686cb219142d81b2593ff67b8ce7a34f0b14","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2464.5449","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-11 02:49:57","f758686cb219142d81b2593ff67b8ce7a34f0b14","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146506.26","144545","9521.22860107232","139537","206549","143867.11007885417","149145.40992114585","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14173.8044","50","False","500","True","False","True","System.Boolean[]","System.Boolean[]","True","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-11 02:49:57","f758686cb219142d81b2593ff67b8ce7a34f0b14","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.83","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
