"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","JVM","TestKIR","FlushEarly","Native","Methods","CILabel","Reference","JS","Dedicated","Common","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5223.5929","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222131.38","220058","7007.042503693797","215756","259874","220189.1269099937","224073.6330900063","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24528.3158","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188306.46","187559.5","2950.997681241698","183675","199229","187488.48517510467","189124.43482489532","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3338.8701","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5223.5929","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222492.16","221576","3468.9482106487644","218576","241014","221530.6166130928","223453.7033869072","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24528.3158","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188905.72","188565","3276.292460594283","184861","203102","187997.57806251367","189813.86193748633","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3981.3183","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5009.5264","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222110.1","221264.5","3887.4802355295205","218024","241555","221032.54545458153","223187.65454541848","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","30103.5959","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189219.42","189142","3067.6902505079","184356","200770","188369.09964514413","190069.7403548559","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3981.3183","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5009.5264","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222198.36","221484.5","3018.024456968025","218706","236366","221361.80630075088","223034.9136992491","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","30103.5959","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190300.66","189343","4289.287670321904","184460","208146","189111.73011592738","191489.58988407263","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2833.7788","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3942.3555","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222676.4","222137.5","2859.706749629681","219056","233188","221883.72973033172","223469.07026966827","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19560.3738","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189846.68","189160","3699.931165603501","183394","199416","188821.1114044883","190872.2485955117","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2833.7788","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3942.3555","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222633.74","221762.5","3980.603511878006","218542","244228","221530.37299930613","223737.10700069385","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19560.3738","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","False","True","System.Boolean[]","2026-06-06 02:28:58","8ff5eb474d5896c1bccf96bd643456b2368538ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.58","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
