"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","Dedicated","TestKIR","CILabel","Methods","Native","Enabled","JS","Common","InstrumentPropertyAccessors","Reference","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3607.7468","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135351.9","135262","2771.0816443388735","130823","143179","134583.79535620203","136120.00464379796","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19021.5414","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154553.54","155061.5","4538.507626738021","145178","163184","153295.52986842135","155811.55013157867","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2202.1609","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3607.7468","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135474.82","135019","2957.8182851140637","130844","144441","134654.9546001667","136294.6853998333","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19021.5414","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154240.48","154019.5","6089.985570975836","142971","170429","152552.42212293044","155928.53787706958","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2801.2431","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4792.5793","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135348.8","135244","2098.3050497086106","131670","141231","134767.1795139784","135930.42048602158","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18711.7279","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153844.76","154109.5","5352.133164506675","143507","166178","152361.22437546105","155328.29562453897","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2801.2431","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4792.5793","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136325.74","135833.5","5703.02327917896","130177","172467","134744.94259788288","137906.5374021171","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18711.7279","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155386.06","154574.5","5138.875210091986","146930","167207","153961.63646457883","156810.48353542117","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2335.7606","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4599.6912","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136954.7","136443.5","3754.3760711566274","131609","153676","135914.04004661657","137995.35995338345","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15330.9189","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155521.68","154135.5","5227.2666031500785","146439","170728","154072.7556204343","156970.6043795657","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2335.7606","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4599.6912","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135453.12","135091.5","2505.2012069586226","130638","140808","134758.71365342254","136147.52634657745","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15330.9189","50","False","500","True","False","System.Boolean[]","ci-linux-large","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 04:43:21","b51345a24401dfeb91268034d634a5dc65813c00","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","85","0.04","163","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
