"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Enabled","TestKIR","CILabel","Reference","Methods","JS","FlushEarly","Common","JVM","Native","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3332.9175","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139199.6","136852.5","9110.780084883074","131284","178182","136674.2206030713","141724.9793969287","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15088.407","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155670.66","154256.5","6483.144886298214","144315","170206","153873.6239206936","157467.69607930642","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1807.923","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3332.9175","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137500.18","136500","7143.836034895354","131429","182518","135520.00967764793","139480.35032235205","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15088.407","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154333.62","153244.5","5045.507263549485","146119","167645","152935.07673897193","155732.16326102806","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1723.0026","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2720.3342","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136718.82","136557","3921.4752674294937","131252","152965","135631.84251248895","137805.79748751107","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14317.4439","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156493.9","155801","6060.629169366117","145472","181908","154813.979302305","158173.820697695","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1723.0026","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2720.3342","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135991.3","135465.5","4600.939581282528","129947","160799","134715.98461352024","137266.61538647974","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14317.4439","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156005.58","155943","4887.910379827405","145573","166543","154650.72036644001","157360.43963355996","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1402.9999","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2445.0198","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136844.24","136816","2903.002946000882","131832","148672","136039.56863698267","137648.9113630173","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13801.1602","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155532.3","155689","4762.282454188263","145404","163952","154212.26265082535","156852.33734917463","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1402.9999","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2445.0198","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137152.32","136966","3027.6850889005977","131608","146170","136313.08851019767","137991.55148980234","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13801.1602","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","System.String[]","True","System.Boolean[]","True","True","True","False","2026-05-31 04:06:27","9d057cf4741556d28503fa71bf9ce575f2d0081c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.79","145","86","0.02","160","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
