"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","JS","Enabled","Dedicated","JVM","FlushEarly","TestKIR","InstrumentPropertyAccessors","Methods","Native","CILabel","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3260.9123","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"130140.68","129593.5","3344.848506010888","124005","139045","129213.53529622834","131067.82470377165","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15259.62","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154243.48","153373","5155.948042201119","145252","166105","152814.32411695833","155672.6358830417","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1722.8996","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3260.9123","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"131967.88","131609","4745.714834609067","123116","146052","130652.43496067717","133283.32503932284","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15259.62","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155030.56","154969.5","4610.386181354495","144209","163831","153752.626149572","156308.493850428","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1795.8501","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2578.6241","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"130020.14","129664.5","4659.267661689475","122609","155362","128728.65689449402","131311.62310550598","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15231.6779","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155482.08","155817","4722.319634264846","145939","167027","154173.11977936293","156791.04022063705","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1795.8501","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2578.6241","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"131044.16","130298.5","3868.2217892220506","124958","140511","129971.94362354935","132116.37637645064","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15231.6779","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155298.4","155526.5","4807.609762933454","146698","166037","153965.79856184978","156631.0014381502","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1345.2591","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2348.2344","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"131410.06","131566","2927.7366086087313","125428","140246","130598.53281548567","132221.58718451433","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14176.28","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154471.22","153877","4857.434185758938","144575","164199","153124.80793644834","155817.63206355166","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1345.2591","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2348.2344","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134025.08","131914","13248.999219563717","123289","220985","130352.64478070119","137697.5152192988","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14176.28","50","False","500","True","True","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","True","2026-05-25 04:05:35","9ffc98441644f02e3172673dd87e0a221fcc47f7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","86","0.07","159","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
