"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Native","JVM","Enabled","JS","FlushEarly","Dedicated","Common","CILabel","Methods","InstrumentPropertyAccessors","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6005.5793","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141779.86","142808","4050.1007445771634","128453","149749","140657.22934921616","142902.49065078382","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","23171.9021","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"174805.14","174209","6574.639960686293","163057","193402","172982.74277997596","176627.53722002407","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2628.1401","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6005.5793","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143152.32","142634","3535.5882773505705","136882","157500","142172.30492901188","144132.33507098813","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","23171.9021","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"172282.26","170837.5","6480.976991762515","161445","185614","170485.82483040102","174078.695169599","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2264.816","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3123.1082","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141235.62","141341","3243.36449077189","134438","150155","140336.6052300885","142134.6347699115","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17391.0209","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"169833.14","169770","5902.065079655577","155804","186415","168197.17102559513","171469.1089744049","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2264.816","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3123.1082","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141971.74","141552.5","3408.406550975791","136665","152289","141026.9779049876","142916.50209501237","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17391.0209","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"171884.34","171013.5","6384.746413099884","161324","184404","170114.57858593512","173654.10141406488","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1624.3142","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3078.0279","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141856","142930","3569.127247118327","134911","149850","140866.68840089283","142845.31159910717","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","17144.806","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"171212.06","171010.5","4971.096020938216","162385","186795","169834.14248311674","172589.97751688326","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1624.3142","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3078.0279","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140002.48","139964","2552.0614175963074","134220","144833","139295.08466572035","140709.87533427967","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","17144.806","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","False","True","ci-linux-large","System.String[]","System.Boolean[]","True","2026-05-13 03:40:54","95d9e11da5f4b38a1c3681d24dbfc2b4fc7271bc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.87","145","86","0.04","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
