"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","InstrumentPropertyAccessors","Reference","Methods","CILabel","Enabled","Dedicated","JS","Common","Native","JVM","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"118010.66666666667","134759","14877.702589221675","106325","134759","81075.19060898226","154946.14272435108","commonmain-plain-jar","2063.7002","3","False","20","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-small","System.Boolean[]","False","True","True","True","True","System.Boolean[]","2026-06-07 03:44:10","534c7abe4be5ac34ef77b661e228231430539d7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","1.56","131","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6370.2072","3","False","20","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-small","System.Boolean[]","False","True","True","True","True","System.Boolean[]","2026-06-07 03:44:10","534c7abe4be5ac34ef77b661e228231430539d7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","1.56","131","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"10064.333333333334","10099","46.87572221665852","10011","10099","9947.959376720277","10180.707289946391","commonmain-plain-win-exe","80815.8618","3","False","20","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-small","System.Boolean[]","False","True","True","True","True","System.Boolean[]","2026-06-07 03:44:10","534c7abe4be5ac34ef77b661e228231430539d7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","1.56","131","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"87025","94826","8026.26457326196","78791","94826","67098.94614857221","106951.05385142779","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3543.9759","3","False","20","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-small","System.Boolean[]","False","True","True","True","True","System.Boolean[]","2026-06-07 03:44:10","534c7abe4be5ac34ef77b661e228231430539d7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","1.56","131","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4958.2079","3","False","20","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-small","System.Boolean[]","False","True","True","True","True","System.Boolean[]","2026-06-07 03:44:10","534c7abe4be5ac34ef77b661e228231430539d7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","1.56","131","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"59916","63589","3185.3183514367915","57912","63589","52008.10904707625","67823.89095292376","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","117115.1556","3","False","20","System.Boolean[]","System.Boolean[]","True","System.String[]","ci-windows-small","System.Boolean[]","False","True","True","True","True","System.Boolean[]","2026-06-07 03:44:10","534c7abe4be5ac34ef77b661e228231430539d7b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","1.56","131","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
