"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Dedicated","TestKIR","Methods","InstrumentPropertyAccessors","JS","Reference","Enabled","FlushEarly","Native","Common","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"238613.16","260111","53257.72134241309","174322","373886","223850.8728025886","253375.4471974114","commonmain-plain-jar","3995.5245","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","11090.6022","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231037.66","227497","10589.145853299451","225041","278834","228102.49851878214","233972.82148121786","commonmain-plain-win-exe","92126.3489","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179221.24","178543","2815.385075775241","174715","189205","178440.85507153702","180001.62492846296","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3373.7797","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5052.2836","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230944.96","229248.5","5134.271082577134","227131","252548","229521.8126636154","232368.1073363846","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25992.1201","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182007.02","180303","7105.495997250211","175510","215771","180037.476993887","183976.563006113","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3373.7797","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5052.2836","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230552.7","229048","4562.902997577981","225797","247548","229287.92781661835","231817.47218338167","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25992.1201","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182224.78","180320","5934.42635946545","176301","210647","180579.84093647776","183869.71906352224","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3816.0539","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
