"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","JVM","Reference","Native","Methods","InstrumentPropertyAccessors","JS","Common","FlushEarly","CILabel","TestKIR","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"170405.3","154120.5","38053.34578186098","146893","321352","159857.45069111735","180953.14930888262","commonmain-plain-jar","2128.6479","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6406.7228","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136264.92","136182","2772.7324829562654","131506","145117","135496.3577670831","137033.48223291693","commonmain-plain-linux-exe","18549.4849","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153966.52","153301.5","5035.983924858039","143715","163252","152570.61647378028","155362.4235262197","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2204.2498","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3840.1508","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137037.86","136727","2422.6313996081503","132636","145988","136366.34083633646","137709.3791636635","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16656.2082","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153651.64","152920.5","5249.687880945585","145596","177149","152196.50075930607","155106.77924069396","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2204.2498","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3840.1508","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136714.7","136552","2420.4470007982973","131995","141545","136043.7863207953","137385.61367920472","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16656.2082","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153718.88","153370.5","4440.906754440207","145649","168575","152487.92344997273","154949.83655002728","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2551.433","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
