"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","InstrumentPropertyAccessors","JVM","Enabled","Reference","Native","TestKIR","JS","Dedicated","CILabel","FlushEarly","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5237.8583","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220261.16","218946.5","4191.989310821393","215957","235113","219099.19984520943","221423.12015479058","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","29501.2702","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205756.74","213574","16736.56898593067","183246","233627","201117.59976189077","210395.8802381092","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3619.3818","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5237.8583","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"238341.66","234166.5","20442.55952624528","217892","306415","232675.27159339946","244008.04840660054","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","29501.2702","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218618.12","219250","13151.888877516058","190529","272121","214972.6023942042","222263.63760579578","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4967.204","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4869.8952","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"249636.74","246164.5","16260.903734969934","224806","306751","245129.44744270618","254144.0325572938","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","28539.3153","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"217787.86","217026","6905.0950990510455","189500","238948","215873.8652888434","219701.85471115657","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4967.204","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4869.8952","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"245653.88","242166","17021.89542509462","220268","312423","240935.6513079768","250372.1086920232","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","28539.3153","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241601","238823","17162.435345241414","211020","279128","236843.815629596","246358.184370404","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","7591.9807","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5493.3435","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"270420.76","272083.5","11533.895516171418","239984","300276","267223.7272726711","273617.7927273289","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","29133.9703","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218036.44","216209","20390.0330065091","187727","265641","212384.61120185212","223688.26879814788","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","7591.9807","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5493.3435","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233066.16","228542.5","13902.330730096288","217082","278736","229212.6305252487","236919.6894747513","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","29133.9703","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","False","ci-windows-large","System.Boolean[]","True","2026-07-04 02:08:03","0f84f1a190ea8774a718c0beb214b4ef15314646","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.28","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
