"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","JS","JVM","InstrumentPropertyAccessors","TestKIR","Native","Reference","Common","FlushEarly","Methods","Enabled","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4651.5673","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239951.88","236783","20655.792997429387","217056","304820","234226.386290687","245677.37370931302","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24873.3617","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187253.56","187004","2164.626641323286","183729","192102","186653.55610668784","187853.56389331215","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3592.2086","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4651.5673","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220911.68","219057.5","7001.856125459352","216317","251160","218970.8645006957","222852.4954993043","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24873.3617","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190484.74","188465.5","8088.0000070903725","182852","222396","188242.86077670983","192726.61922329015","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4099.9812","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4973.1215","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223441.26","221173.5","6473.280879058445","218050","246012","221646.9580840059","225235.56191599413","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26909.9994","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190907.3","190369","4936.28504969443","184976","215672","189539.03159205656","192275.5684079434","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4099.9812","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4973.1215","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222421.64","220263.5","10634.224475451218","216047","284301","219473.98336221342","225369.2966377866","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26909.9994","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186104.96","186082","2688.3044194117174","180305","193075","185359.80003233496","186850.11996766503","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4601.299","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","8799.862","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221573.64","218929.5","10697.516135047043","216046","274425","218608.43980922987","224538.84019077016","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","31818.5958","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187713.64","187143","4283.479825886368","183852","214496","186526.31996827168","188900.96003172835","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4601.299","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","8799.862","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220935","219024","5826.31564191159","216044","243038","219320.02769850625","222549.97230149375","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","31818.5958","50","False","500","False","True","True","System.Boolean[]","System.Boolean[]","True","True","True","System.Boolean[]","System.String[]","System.Boolean[]","ci-windows-large","2026-05-22 02:38:44","39ee9c030cf5cf75168b2864e40089c9b4b1f3d1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.35","High performance","0.8","127","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
