"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Dedicated","JS","Native","InstrumentPropertyAccessors","Reference","Enabled","JVM","FlushEarly","Common","Methods","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3313.0832","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145292.5","145208.5","3677.9610825143045","139393","158365","144273.02120082465","146311.97879917535","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17039.1413","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141153.26","140324.5","4404.080060116797","134415","151543","139932.51128884437","142374.00871115565","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2288.735","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3313.0832","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144516.22","143697.5","3644.8075299258367","139047","158392","143505.9308967521","145526.5091032479","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17039.1413","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142240.2","141650.5","4472.454017513821","134730","154142","141000.49899478303","143479.901005217","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2493.0566","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3418.8838","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144190.6","144346.5","2618.92434688249","138800","149968","143464.6712072827","144916.52879271732","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17156.2329","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140691.5","139886","3823.827296554795","131948","149453","139631.5891490998","141751.4108509002","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2493.0566","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3418.8838","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145064.96","144457","4858.44168331823","140153","170374","143718.2686723727","146411.65132762727","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","17156.2329","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141624.46","141144","4555.713986516139","132665","151784","140361.6805088193","142887.2394911807","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2315.9865","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4597.0129","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144571.38","143890.5","2609.0621732878717","139856","151965","143848.18486233448","145294.57513766552","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","17564.2284","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141940.9","141071","4509.378776392552","135056","153361","140690.96397380345","143190.83602619654","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2315.9865","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4597.0129","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143850.68","143223.5","3724.1469393838984","139505","162575","142818.3991344504","144882.9608655496","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","17564.2284","50","False","500","System.Boolean[]","False","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","System.String[]","ci-linux-large","2026-08-21 01:24:37","5247d9f169475c72418de324e0169fc9ad85f43f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.94","145","82","0.05","160","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
