"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Reference","JS","Enabled","FlushEarly","TestKIR","Common","Methods","Dedicated","Native","JVM","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"147871.12","144454","17913.761153905776","135273","264053","142905.67874051468","152836.56125948532","commonmain-plain-jar","1904.0025","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6259.7347","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"124493.06","123760.5","2889.1353653977235","120077","133342","123692.23253421366","125293.88746578633","commonmain-plain-linux-exe","15002.4664","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146391.52","146739.5","5083.46264055901","135916","160490","144982.45604522128","147800.5839547787","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2654.5492","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3961.9145","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"126056.18","125532.5","2943.1376821206254","121463","136643","125240.38385570668","126871.97614429331","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","34682.2355","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145002.24","144710.5","4818.910777767278","134711","155856","143666.50608035424","146337.97391964574","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2654.5492","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3961.9145","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"125112.34","124736.5","2060.236548831919","121902","135377","124541.27156406525","125683.40843593475","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","34682.2355","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145611.72","145301","5740.689512877814","134798","162642","144020.48205056897","147202.95794943103","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2582.8765","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
