"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Methods","Dedicated","Common","Enabled","FlushEarly","JS","TestKIR","CILabel","Native","Reference","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5161.0279","50","False","500","System.Boolean[]","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","True","2026-05-30 02:17:51","3e9170216779d8d159ea434615ff2b3dfe5d859c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.14","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227923.58","220734","41666.11352807323","217583","514339","216374.32256281545","239472.83743718453","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","29603.8204","50","False","500","System.Boolean[]","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","True","2026-05-30 02:17:51","3e9170216779d8d159ea434615ff2b3dfe5d859c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.14","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218629.08","222764.5","15301.881962206677","183304","236710","214387.61471584614","222870.54528415384","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4149.2455","50","False","500","System.Boolean[]","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","True","2026-05-30 02:17:51","3e9170216779d8d159ea434615ff2b3dfe5d859c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.14","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5161.0279","50","False","500","System.Boolean[]","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","True","2026-05-30 02:17:51","3e9170216779d8d159ea434615ff2b3dfe5d859c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.14","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233486.7","227014","16628.19703462913","220572","307954","228877.59893421983","238095.8010657802","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","29603.8204","50","False","500","System.Boolean[]","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","True","2026-05-30 02:17:51","3e9170216779d8d159ea434615ff2b3dfe5d859c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.14","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220864.84","219572.5","6261.120569850423","212288","252674","219129.34592139503","222600.33407860497","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5815.9049","50","False","500","System.Boolean[]","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","True","2026-05-30 02:17:51","3e9170216779d8d159ea434615ff2b3dfe5d859c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.14","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5891.9995","50","False","500","System.Boolean[]","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","True","2026-05-30 02:17:51","3e9170216779d8d159ea434615ff2b3dfe5d859c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.14","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"254284.58","239717.5","31341.20276470524","217399","322264","245597.24181385746","262971.9181861425","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","31610.2192","50","False","500","System.Boolean[]","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","True","2026-05-30 02:17:51","3e9170216779d8d159ea434615ff2b3dfe5d859c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.14","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215349.46","217622.5","17192.59358479217","184299","265913","210583.91619208356","220115.00380791642","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5815.9049","50","False","500","System.Boolean[]","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","True","2026-05-30 02:17:51","3e9170216779d8d159ea434615ff2b3dfe5d859c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.14","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5891.9995","50","False","500","System.Boolean[]","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","True","2026-05-30 02:17:51","3e9170216779d8d159ea434615ff2b3dfe5d859c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.14","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230779.34","224866.5","12302.347966721056","219363","275410","227369.30312066028","234189.37687933972","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","31610.2192","50","False","500","System.Boolean[]","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","True","2026-05-30 02:17:51","3e9170216779d8d159ea434615ff2b3dfe5d859c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.14","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204484.32","198239.5","13909.052921058872","187281","225832","200628.9272289776","208339.7127710224","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4033.5879","50","False","500","System.Boolean[]","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","True","2026-05-30 02:17:51","3e9170216779d8d159ea434615ff2b3dfe5d859c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.14","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","6954.4749","50","False","500","System.Boolean[]","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","True","2026-05-30 02:17:51","3e9170216779d8d159ea434615ff2b3dfe5d859c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.14","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"246688.6","244593","10670.44122225276","229036","279779","243730.9045921691","249646.2954078309","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","28842.5378","50","False","500","System.Boolean[]","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","True","2026-05-30 02:17:51","3e9170216779d8d159ea434615ff2b3dfe5d859c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.14","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223614.64","219176","16364.416669376871","211786","290532","219078.65512114522","228150.6248788548","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4033.5879","50","False","500","System.Boolean[]","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","True","2026-05-30 02:17:51","3e9170216779d8d159ea434615ff2b3dfe5d859c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.14","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","6954.4749","50","False","500","System.Boolean[]","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","True","2026-05-30 02:17:51","3e9170216779d8d159ea434615ff2b3dfe5d859c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.14","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247083.62","246031","12575.752288756457","228435","301144","243597.79930901443","250569.44069098556","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","28842.5378","50","False","500","System.Boolean[]","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","True","2026-05-30 02:17:51","3e9170216779d8d159ea434615ff2b3dfe5d859c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.4","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.18","High performance","0.14","135","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
