"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","JS","Common","FlushEarly","Enabled","CILabel","Reference","JVM","TestKIR","InstrumentPropertyAccessors","Native","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3680.5329","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138084.5","137415","3356.0571815930743","131965","147648","137154.24840986752","139014.75159013248","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18651.9852","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155272.02","153947.5","5229.102074906926","145223","168639","153822.58685362013","156721.45314637985","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2808.1678","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3680.5329","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138692.58","138196.5","3126.577597479587","132994","152475","137825.93690533514","139559.22309466483","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18651.9852","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155462.6","155105.5","5371.337643607283","144136","165236","153973.7411654398","156951.4588345602","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2906.0659","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3757.2338","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137654.38","137575","3462.3287308411614","132411","153780","136694.67143928428","138614.08856071573","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15680.4505","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156614.26","157389","4894.5282101963785","146606","167660","155257.56599744962","157970.9540025504","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2906.0659","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3757.2338","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138335.38","137966.5","3282.37417739175","133192","146580","137425.55229662367","139245.20770337633","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15680.4505","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156478.4","156301.5","5945.489070355297","141179","171252","154830.39450946546","158126.40549053453","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2509.6808","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4838.7079","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138976.6","138446","3807.6289317149394","133637","159870","137921.17910675978","140032.02089324023","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14834.4465","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155155.4","155902.5","5392.723339872736","144270","166908","153660.6133528667","156650.1866471333","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2509.6808","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4838.7079","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137437.46","136981","2427.208249434409","133123","143340","136764.6721982894","138110.2478017106","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14834.4465","50","False","500","System.String[]","True","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","True","False","2026-05-15 03:43:12","e72bdc9fcb68cbb16c2dece862b800c277a7ffa3","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.02","145","86","0.02","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
