"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Common","TestKIR","JS","InstrumentPropertyAccessors","Methods","Reference","Native","Dedicated","JVM","Enabled","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4098.3755","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233164.1","229914.5","11488.978152551075","225780","287873","229979.5177306554","236348.6822693446","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23805.4082","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177932.48","177884.5","2085.8994853197373","173397","182764","177354.29816099032","178510.6618390097","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3618.6818","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4098.3755","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236480.74","229660","24233.39115539144","226165","367170","229763.58667488763","243197.89332511235","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23805.4082","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179190.46","177849","5418.998153548611","173976","210077","177688.39034608824","180692.52965391174","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4852.1316","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5576.9539","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232426.88","228726.5","9980.110560591633","225912","283781","229660.53448908078","235193.22551091923","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","42249.7736","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177804.96","177607","4421.633196095797","172987","204464","176579.34580778348","179030.5741922165","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4852.1316","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5576.9539","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231176.18","228657","8774.840489718315","225807","283685","228743.91830806882","233608.44169193116","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","42249.7736","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177842.54","177397.5","2659.9451982232677","173232","190152","177105.2408073987","178579.83919260133","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2581.9381","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3359.3434","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232514.96","227784","15996.25929991772","223743","331969","228081.02313756064","236948.89686243935","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18656.7268","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"176894.44","176859","1750.0069289658747","172790","179846","176409.36282749468","177379.51717250532","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2581.9381","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3359.3434","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230390.24","228510.5","5676.002292358341","225653","247732","228816.93243330487","231963.5475666951","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18656.7268","50","False","500","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","System.String[]","True","True","False","True","System.Boolean[]","ci-windows-large","2026-06-21 02:54:53","ba5efab2bb4f53a84b7b01d4e58398a74fcec7eb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.9","High performance","0.88","127","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
