"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Reference","Enabled","InstrumentPropertyAccessors","CILabel","Dedicated","JS","FlushEarly","Native","Methods","JVM","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3505.4655","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177346.98","176113.5","4762.339883172677","172921","196919","176026.92673232305","178667.03326767698","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","19720.2812","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"138880.16","137281.5","7454.894588176032","134840","187374","136813.76864559858","140946.55135440142","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3396.3834","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3505.4655","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178781.3","175970.5","18342.69971477837","172983","305281","173696.96303739335","183865.63696260663","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","19720.2812","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"138427.64","137992.5","2361.5092265199337","135017","150702","137773.06303834054","139082.2169616595","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2982.2067","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3508.1371","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177403.3","176758","3340.0677816047814","172653","188580","176477.48044542578","178329.1195545742","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20542.0408","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"138547.88","138289","2314.823831971069","134751","149295","137906.24356949513","139189.51643050488","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2982.2067","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3508.1371","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177016.96","176473.5","2564.8890333637023","173541","188337","176306.00903203487","177727.91096796512","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20542.0408","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"138433.8","138417.5","1289.4533250765694","136279","141947","138076.38177344739","138791.2182265526","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3174.1763","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4009.4112","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185506.04","185722.5","3937.122957445045","175743","193528","184414.72519410276","186597.35480589725","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","23192.7332","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"140134.96","138217.5","4556.4111770881555","135299","152365","138871.98725745225","141397.93274254774","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3174.1763","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4009.4112","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183297.66","176591","35483.59951117975","173624","427289","173462.10801657697","193133.21198342304","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","23192.7332","50","False","500","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","ci-windows-large","False","True","System.Boolean[]","True","System.String[]","True","True","2026-05-18 02:37:27","2007a8801e56d43ef97f40eec94731f91c8b3094","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.98","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.44","High performance","1.4","131","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
