"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","FlushEarly","Enabled","Dedicated","Reference","CILabel","InstrumentPropertyAccessors","JS","Methods","TestKIR","JVM","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3771.3066","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231849.26","227147.5","13335.821004714931","224213","310017","228152.75900967143","235545.7609903286","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25628.6564","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180295.78","178224","6675.523378671043","173911","208266","178445.41932318118","182146.14067681882","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2609.4616","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3771.3066","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230678.04","228662.5","8023.011796331952","223386","274046","228454.17458968342","232901.9054103166","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25628.6564","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178835.72","178273","3632.516960871678","172828","195997","177828.83766868347","179842.60233131654","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4564.5115","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4186.9029","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229909.6","227004","7870.3757501773425","222500","255098","227728.04314313288","232091.15685686714","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","25391.324","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178502.1","177801.5","3922.1470341055365","173837","197948","177414.93630826633","179589.26369173368","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4564.5115","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4186.9029","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228816.86","227248","5763.49166069121","223123","259866","227219.30161765794","230414.41838234203","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","25391.324","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178995.14","177299","7478.637671994787","172982","224408","176922.16739853338","181068.11260146665","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3168.648","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3771.6867","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230861.98","227815","8378.766236902247","223329","270229","228539.50448975654","233184.45551024348","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25632.6744","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194663.96","193328","8101.625173219689","178112","211467","192418.3040733428","196909.6159266572","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3168.648","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3771.6867","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241568.78","238507.5","26462.803430468055","228283","417474","234233.66512008288","248903.89487991712","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25632.6744","50","False","500","True","System.Boolean[]","System.Boolean[]","False","True","ci-windows-large","System.Boolean[]","True","System.String[]","System.Boolean[]","True","True","2026-07-29 01:52:42","0e4486cd7a5db6eb1eb65d6b705d2261f783bb88","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.04","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.23","High performance","0.09","142","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
