"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Native","Enabled","CILabel","JS","Methods","Common","Reference","TestKIR","Dedicated","JVM","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"205639.24","198181","14977.170457760585","189452","254638","201487.7801528816","209790.69984711838","commonmain-plain-jar","2686.0631","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8005.9641","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239575.4","229954","21832.960623603863","219526","296175","233523.61207195095","245627.18792804904","commonmain-plain-win-exe","98069.1108","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187635","187058","3309.47807094122","183750","205870","186717.65948062894","188552.34051937106","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4191.0732","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","7815.5539","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221766.72","220284","5785.476249212685","215458","252032","220163.0678006209","223370.3721993791","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","46177.142","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"213024.1","216105","14066.23390011175","181978","249253","209125.13888440217","216923.06111559784","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4191.0732","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","7815.5539","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"245954.38","241784","14407.48235295162","224244","301329","241960.82963913374","249947.93036086627","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","46177.142","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197981.32","194101.5","13075.123174102766","186487","248689","194357.0807615871","201605.5592384129","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2778.542","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
