"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Dedicated","Enabled","TestKIR","JVM","InstrumentPropertyAccessors","Native","Common","FlushEarly","Reference","JS","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"157156.42","156798.5","8610.865727387814","143470","204256","154769.60979329268","159543.23020670735","commonmain-plain-jar","1854.7817","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6405.3863","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137563.8","137325","3423.434383713501","129462","146938","136614.87240227294","138512.72759772703","commonmain-plain-linux-exe","16648.0585","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154604.08","153227.5","5858.274931850063","145918","178844","152980.24903529638","156227.9109647036","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1954.2312","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3847.1763","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137797.94","137118","4094.4742525127435","131037","156543","136663.00964033656","138932.87035966344","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16202.325","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156977.98","157239","5526.920212958404","144464","166729","155445.99587742935","158509.96412257067","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","1954.2312","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3847.1763","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138604.46","138299","4834.670151929621","128382","159605","137264.35780470198","139944.562195298","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16202.325","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154524.66","155484","4882.3509167078055","144315","165648","153171.34137099612","155877.9786290039","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1667.651","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
