"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","JVM","TestKIR","Dedicated","CILabel","Common","Reference","Methods","Enabled","Native","InstrumentPropertyAccessors","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"51459","61137","8843.085604018543","43800","61137","29505.101228027856","73412.89877197215","commonmain-plain-jar","1632.9413","3","False","20","System.Boolean[]","True","System.Boolean[]","False","ci-linux-small","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-07-06 02:04:35","e01234a509f7fd1183c307a31b4a911c91a461d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","4812.1967","3","False","20","System.Boolean[]","True","System.Boolean[]","False","ci-linux-small","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-07-06 02:04:35","e01234a509f7fd1183c307a31b4a911c91a461d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"7281","8033","651.5282035338148","6886","8033","5663.51207011201","8898.48792988799","commonmain-plain-linux-exe","12935.0002","3","False","20","System.Boolean[]","True","System.Boolean[]","False","ci-linux-small","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-07-06 02:04:35","e01234a509f7fd1183c307a31b4a911c91a461d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"72482.33333333333","75506","4303.784419941749","67555","75506","61797.731631767136","83166.93503489952","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2028.1724","3","False","20","System.Boolean[]","True","System.Boolean[]","False","ci-linux-small","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-07-06 02:04:35","e01234a509f7fd1183c307a31b4a911c91a461d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3347.8156","3","False","20","System.Boolean[]","True","System.Boolean[]","False","ci-linux-small","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-07-06 02:04:35","e01234a509f7fd1183c307a31b4a911c91a461d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"39533.666666666664","44390","4317.584085264968","36129","44390","28814.8058309974","50252.52750233593","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18856.8097","3","False","20","System.Boolean[]","True","System.Boolean[]","False","ci-linux-small","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","2026-07-06 02:04:35","e01234a509f7fd1183c307a31b4a911c91a461d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
