"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Native","Reference","Methods","Enabled","Dedicated","JS","TestKIR","Common","CILabel","InstrumentPropertyAccessors","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"111246.33333333333","174735","55099.93990317352","75911","174735","-25545.116749013236","248037.78341567988","commonmain-plain-jar","1886.3935","3","False","20","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-linux-small","System.Boolean[]","True","2026-07-28 01:26:36","dd84c713138d15d71046f1042c721b31c0e8deae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","83","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6221.2272","3","False","20","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-linux-small","System.Boolean[]","True","2026-07-28 01:26:36","dd84c713138d15d71046f1042c721b31c0e8deae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","83","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"8807","10149","1162.5196772528197","8109","10149","5920.921491019345","11693.078508980656","commonmain-plain-linux-exe","16147.5649","3","False","20","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-linux-small","System.Boolean[]","True","2026-07-28 01:26:36","dd84c713138d15d71046f1042c721b31c0e8deae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","83","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111788","126464","13254.294851103925","100690","126464","78882.80598912486","144693.19401087513","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2160.6362","3","False","20","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-linux-small","System.Boolean[]","True","2026-07-28 01:26:36","dd84c713138d15d71046f1042c721b31c0e8deae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","83","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3911.4483","3","False","20","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-linux-small","System.Boolean[]","True","2026-07-28 01:26:36","dd84c713138d15d71046f1042c721b31c0e8deae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","83","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"46498.666666666664","47554","981.5601526821132","45613","47554","44061.8393876463","48935.49394568703","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","20404.9696","3","False","20","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-linux-small","System.Boolean[]","True","2026-07-28 01:26:36","dd84c713138d15d71046f1042c721b31c0e8deae","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.69","145","83","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
