"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","FlushEarly","Native","Common","Methods","JS","Enabled","TestKIR","Dedicated","InstrumentPropertyAccessors","JVM","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5485.1995","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229179.28","222276","13983.954290309643","217497","287982","225303.1256286596","233055.4343713404","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21498.0811","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205790.22","215269.5","16573.121053091","181364","242061","201196.38521743007","210384.05478256993","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3105.6862","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5485.1995","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220750.32","218799","5760.685090493728","216355","248570","219153.5395592268","222347.1004407732","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21498.0811","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197814.54","187566.5","15617.609826809254","183471","225397","193485.5594167307","202143.5205832693","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2663.7956","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4470.1707","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"246048.06","242469","21146.193710095868","218490","302833","240186.6341482723","251909.4858517277","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20319.6795","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"238951.7","235918","26118.75291835742","191298","282895","231711.9510565551","246191.44894344494","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2663.7956","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4470.1707","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"275830.52","277098.5","9803.531242675897","251078","298290","273113.11977886205","278547.920221138","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20319.6795","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226182.92","221197","24301.179163327924","188612","271504","219446.9767977304","232918.86320226963","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2308.7921","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3111.0516","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"242784.18","240619.5","19704.856012596054","216537","321149","237322.27257494602","248246.08742505396","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19126.6458","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195098.72","188396.5","15619.92707270859","180150","246705","190769.0971089374","199428.3428910626","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2308.7921","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3111.0516","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235130.84","219322","58794.89853108006","215944","621418","218833.72559140334","251427.95440859665","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19126.6458","50","False","500","True","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","2026-04-22 01:53:43","68092ee512358e695fe5be70517c657d025b26de","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.25","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
