"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Common","JVM","FlushEarly","Reference","Native","JS","Methods","CILabel","TestKIR","InstrumentPropertyAccessors","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2839.7624","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145595.88","145161.5","3385.7266946125824","139201","156892","144657.40444043808","146534.35555956193","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14130.5192","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143468.68","142840","4530.886066606777","135639","154481","142212.78245710733","144724.57754289266","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1663.7264","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2839.7624","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145701.18","144713.5","3904.2625198725596","140527","157160","144618.97364269293","146783.38635730706","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14130.5192","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142605.66","142139","3907.089608464519","133548","152158","141522.67001371528","143688.64998628473","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1485.5688","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3192.6552","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145020.98","144673.5","2690.635646694904","140382","154634","144275.17384909975","145766.78615090027","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14580.722","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142582.66","142691","4610.54034466633","134447","155473","141304.6834176821","143860.6365823179","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1485.5688","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3192.6552","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146022.98","145190.5","4703.316843050493","140033","165240","144719.28708435438","147326.67291564564","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14580.722","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142504.92","141574.5","4623.969316330651","134257","154414","141223.22109664624","143786.61890335378","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1569.9883","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2507.7137","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145018.24","144317.5","3451.2718836240474","139855","158936","144061.5962409694","145974.88375903058","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13986.4648","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143145.26","143796","5033.452111176802","131524","154614","141750.0582567284","144540.46174327162","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1569.9883","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2507.7137","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144714.9","144858","2602.1857864777717","139511","150233","143993.61089951394","145436.18910048605","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13986.4648","50","False","500","System.Boolean[]","True","True","System.Boolean[]","True","True","True","System.String[]","ci-linux-large","System.Boolean[]","System.Boolean[]","False","2026-08-13 02:08:35","45a384c0446b0ddcff2b886f4551d387365ffd15","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.9","145","83","0.02","163","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
