"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Common","CILabel","JVM","Dedicated","JS","Native","Enabled","Reference","InstrumentPropertyAccessors","FlushEarly","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4593.4918","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230303.08","224208.5","12919.03259447637","218846","271420","226722.10686286166","233884.0531371383","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25222.0821","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218849.98","219411","7359.352837258539","193626","234448","216810.07146782297","220889.88853217705","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3993.4602","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4593.4918","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228322.36","224953.5","10152.552233175016","220516","279210","225508.21609607193","231136.50390392804","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25222.0821","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200115.18","198727.5","7913.394750493802","190068","228564","197921.69888461014","202308.66111538984","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3603.9087","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4598.0294","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225690.68","224057.5","4722.516863724604","220687","244062","224381.66511014584","226999.69488985415","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19233.6805","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199919.54","197210.5","8444.253298171097","192171","230227","197578.9124024761","202260.16759752392","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3603.9087","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4598.0294","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225922.9","224487.5","4766.23961754303","220558","245907","224601.76578110474","227244.03421889525","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19233.6805","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204441.92","200290","10822.18741486438","193318","237718","201442.16269353766","207441.67730646237","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2059.8425","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3292.1408","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228208.44","224674.5","9484.330237151536","222143","264217","225579.51778352464","230837.36221647536","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19020.665","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202451.78","199265.5","9050.335802294063","194307","230161","199943.15490341553","204960.40509658447","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2059.8425","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3292.1408","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232896.6","232971.5","10789.135476326665","221027","291112","229906.00422348725","235887.19577651276","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19020.665","50","False","500","System.Boolean[]","True","ci-windows-large","True","False","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","2026-07-10 02:08:26","bfd3cf066106bd0e8a48e49fca5b20d77aa5903c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.58","High performance","0.11","137","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
