"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","FlushEarly","TestKIR","Dedicated","JS","Enabled","Native","Reference","InstrumentPropertyAccessors","JVM","Methods","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3593.9932","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137964.54","137534","3861.825830260254","132457","151779","136894.09649292336","139034.98350707666","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17449.0773","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153531.54","154271.5","3959.695356298749","142301","159751","152433.96844435428","154629.11155564574","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2247.5472","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3593.9932","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137668.22","137337.5","2963.421666084733","130907","145488","136846.80142220337","138489.63857779664","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17449.0773","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153389.24","152968","4742.607426988936","142835","166161","152074.6562901252","154703.8237098748","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2698.9676","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3630.9234","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138122.96","138092.5","2396.334462363341","133454","144829","137458.72997545535","138787.19002454463","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","16017.3928","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151689.66","151725","3451.3687235232183","143509","157867","150732.98939831887","152646.33060168114","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2698.9676","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3630.9234","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138346.7","138147","2548.7214982241985","132951","144398","137640.2304441379","139053.1695558621","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","16017.3928","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152899.46","153189.5","4478.658601156632","143493","163500","151658.03917194105","154140.88082805893","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2115.9361","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3733.4236","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138529.56","137276","4778.288298936671","133040","155479","137205.08605701214","139854.03394298785","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15229.1135","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151712.08","150930","4104.584792643466","143963","162903","150574.34714159332","152849.81285840666","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2115.9361","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3733.4236","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138660.8","138258","3894.1234165949945","133227","155442","137581.40405873655","139740.19594126343","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15229.1135","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","True","System.String[]","True","2026-09-09 03:43:38","0053eb204f4250b9dabae3a8861043e0202e36ac","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14","145","83","0.04","159","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
