"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Methods","InstrumentPropertyAccessors","Native","Dedicated","JVM","Common","JS","CILabel","Enabled","Reference","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4599.3167","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223966.54","220062","18619.790136928652","216910","348651","218805.3974909237","229127.68250907632","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20186.0019","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192682.32","192058.5","5315.5137422915","186797","221916","191208.9347614355","194155.70523856452","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2319.2876","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4599.3167","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222277.18","220587","4971.186914036297","217033","244002","220899.2372888353","223655.12271116467","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20186.0019","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192809.64","192920.5","3094.49645608695","186775","199843","191951.88934404493","193667.3906559551","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2702.5699","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4308.1998","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227600.1","220476.5","40599.06745649136","218000","506217","216346.61264393263","238853.58735606738","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19050.3356","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190910.4","190794.5","2432.8408354457238","186114","199698","190236.05092510182","191584.74907489817","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2702.5699","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4308.1998","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221487.9","219685.5","5905.474852600244","217743","251316","219850.9858847551","223124.8141152449","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19050.3356","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191120.06","191457.5","3024.1376400081867","185564","197654","190281.81181286342","191958.30818713657","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2223.6004","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3587.3372","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223945.62","221139","12082.92958612543","218266","302184","220596.40279279606","227294.83720720393","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19258.4527","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191678.14","190773","3886.8072990566434","186895","209368","190600.7719830553","192755.50801694472","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2223.6004","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3587.3372","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221221.64","219525","8028.41401665716","216322","273469","218996.27717060625","223447.00282939378","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19258.4527","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","True","False","True","True","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","2026-05-08 02:15:18","fc5265680c8506d489364f047109ae4088ca72a2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.65","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.94","High performance","1.29","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
