"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Dedicated","Reference","Enabled","JS","Native","CILabel","Common","TestKIR","JVM","FlushEarly","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3868.5818","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144700.82","144145.5","2744.482916168883","139564","151271","143940.08814749753","145461.55185250248","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18439.8463","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141800.38","140683.5","5236.36852232849","133811","156673","140348.93269715534","143251.82730284467","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2334.4797","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3868.5818","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143873.42","143897","2464.842836319408","139527","149432","143190.20042302477","144556.63957697526","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18439.8463","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142161.1","141428.5","4596.960003688329","134916","155181","140886.88769615107","143435.31230384894","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2153.6542","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3149.0476","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145400.02","144212.5","5496.637656804756","139712","171631","143876.429773746","146923.61022625398","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","16600.4186","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141756.86","140931.5","3839.8003190535937","135861","149757","140692.52165315","142821.19834684997","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2153.6542","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3149.0476","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144701.76","144061.5","2955.75396341524","138908","152384","143882.46680094843","145521.0531990516","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","16600.4186","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140932.34","140238.5","4503.781964536209","131828","154594","139683.95533090117","142180.72466909882","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1606.4714","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2688.4245","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145829.76","143757.5","6554.993813910747","139348","169190","144012.80841403076","147646.71158596926","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14366.3866","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141637.48","140610.5","4798.072003270838","134312","157907","140307.52229394743","142967.4377060526","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1606.4714","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2688.4245","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145256.14","144512.5","4164.496177038878","138567","164655","144101.80055309224","146410.4794469078","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14366.3866","50","False","500","System.String[]","False","True","System.Boolean[]","True","True","ci-linux-large","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","2026-08-06 02:44:51","48ac753bce5e87b9f81f4292ff03ec7127eb4e67","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","83","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
