"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","TestKIR","FlushEarly","Common","JVM","Dedicated","Methods","Native","Enabled","InstrumentPropertyAccessors","Reference","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3080.5169","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138392.9","138060","3286.552745503956","133329","146012","137481.91405663535","139303.88594336464","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15711.154","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154070.16","154590.5","4306.25799657443","143969","166611","152876.5261814807","155263.7938185193","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1977.5142","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3080.5169","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137963.02","138209.5","2915.0612447796575","132907","147066","137155.00624708695","138771.03375291303","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15711.154","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156390.38","155291","4760.426596773163","147906","167512","155070.85706825572","157709.9029317443","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1590.6218","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2978.2636","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139452.5","137659.5","11310.835856173766","131664","214957","136317.29625596295","142587.70374403705","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14295.233","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156816","156218.5","5147.582912079678","147910","171330","155389.1628127302","158242.8371872698","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1590.6218","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2978.2636","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138272.32","138115.5","2461.024321667044","134231","143627","137590.1588612858","138954.4811387142","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14295.233","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157073.02","156424.5","5716.853289197134","147076","171133","155488.38911468675","158657.65088531323","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1373.91","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2361.3247","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138177.64","137755","3186.0148657685136","133076","151301","137294.52173511396","139060.75826488607","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14105.7466","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155468.26","154502","4756.89970125029","146051","166024","154149.7146738181","156786.80532618193","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1373.91","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2361.3247","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137993.86","137567","2934.8652648558063","131941","148331","137180.35685278583","138807.36314721414","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14105.7466","50","False","500","ci-linux-large","System.Boolean[]","System.Boolean[]","True","True","False","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-08-05 02:42:23","22538211422ac5d8c61e103c0ae4d5c368283d77","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.94","145","83","0.02","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
