"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","CILabel","Common","FlushEarly","JS","Reference","Methods","Enabled","Dedicated","InstrumentPropertyAccessors","TestKIR","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4826.8908","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223566.74","221230.5","6068.472627693168","219017","245041","221884.64520657717","225248.8347934228","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","29861.0055","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187870.34","186942","4940.734426981395","182988","211397","186500.83828759473","189239.84171240526","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3888.6914","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4826.8908","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228207.6","221871","33465.57109652137","217111","457460","218931.41695461672","237483.7830453833","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","29861.0055","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189168.02","188642.5","5298.973533600251","183262","221035","187699.21947337678","190636.8205266232","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2999.0213","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4488.8109","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225530.78","219909.5","21274.787485247623","216954","336563","219633.70977234445","231427.85022765555","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","27486.6901","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186037.56","185727","2331.9600773703182","181365","192784","185391.17364460736","186683.94635539263","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2999.0213","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4488.8109","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222588.72","220867","6109.781919485626","216334","255481","220895.174855079","224282.265144921","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","27486.6901","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186542.54","186607","2274.578742877683","181236","191517","185912.05893905484","187173.02106094518","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2953.8322","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4350.3881","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220983.54","218772.5","11032.632233903721","214548","294762","217925.45036576322","224041.6296342368","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","21252.452","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184964.94","184362","3017.7933309229884","181240","196754","184128.45036562206","185801.42963437794","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2953.8322","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4350.3881","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220601","219578","4411.250519167682","216531","239831","219378.26373899847","221823.73626100153","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","21252.452","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","2026-05-06 02:05:41","ff6d7d84d62b80cb8d68318d6dc22147faf219f5","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.93","High performance","1.32","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
