"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","Methods","Native","Common","Enabled","JVM","TestKIR","Reference","InstrumentPropertyAccessors","JS","CILabel","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"153942.5","152718.5","7421.082409773729","142003","188489","151885.48090328748","155999.51909671252","commonmain-plain-jar","2066.041","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5885.9401","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136399.64","136404.5","2105.3794147374006","131144","141783","135816.05860003651","136983.2213999635","commonmain-plain-linux-exe","16093.2308","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152565.62","152111","4383.244823094379","144300","163106","151350.64652189973","153780.59347810026","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2343.6322","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3746.777","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136932.46","136990.5","2699.5702319337533","132061","145357","136184.17730842243","137680.74269157756","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36443.7452","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151682.84","152120","4417.261083984242","142175","163301","150458.43769543138","152907.24230456862","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2343.6322","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3746.777","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137389.98","136705.5","2345.2026890341617","132418","144352","136739.9229799282","138040.03702007182","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","36443.7452","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152902.48","151827.5","5878.355140058574","140160","176826","151273.08308555078","154531.87691444924","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2161.8471","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
