"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","FlushEarly","Reference","CILabel","Native","JVM","Methods","Enabled","Common","TestKIR","InstrumentPropertyAccessors","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3305.0478","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138722.78","137825.5","5070.409500388765","133687","168359","137317.3341910819","140128.2258089181","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14949.1735","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154259.2","153292.5","4580.319323152134","145535","165753","152989.60025746695","155528.79974253307","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1714.8494","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3305.0478","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138865","138960","3060.342644548289","134210","146032","138016.71629760793","139713.28370239207","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14949.1735","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155484.72","154431.5","4724.565523874947","147376","166072","154175.13725052387","156794.30274947613","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1451.8066","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2826.0903","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138275.08","137819","2655.0409800442408","134139","143844","137539.14018732353","139011.01981267644","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14992.7281","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153593.08","153140.5","4109.789958583463","145860","167484","152453.904343205","154732.25565679497","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1451.8066","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2826.0903","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138796.14","138736","2611.2684696936712","133803","145438","138072.33330817177","139519.94669182826","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14992.7281","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153887.58","154456.5","3824.6541051553454","145474","162509","152827.43996944826","154947.72003055172","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1445.4246","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2568.582","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138297.54","137840.5","2981.855607790942","132251","144332","137471.01179425107","139124.06820574895","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14778.3029","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155192.6","154437","5121.695298892143","143943","169255","153772.938493009","156612.26150699102","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1445.4246","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2568.582","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138431.84","138228","3824.436185523672","132278","158035","137371.7603736884","139491.9196263116","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14778.3029","50","False","500","False","System.Boolean[]","True","ci-linux-large","True","True","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","2026-09-12 03:42:54","3da3e953641da68bde6cf4c92c4267f5c8fecf1c","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.96","145","83","0.12","153","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
