"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Methods","Native","CILabel","Reference","FlushEarly","TestKIR","Dedicated","Common","Enabled","JVM","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2965.5212","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137093.8","136810","2582.0352437563665","130742","141753","136378.09634499185","137809.50365500813","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15029.1671","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153179.66","153032.5","4571.535889856373","141463","164614","151912.4949009632","154446.8250990368","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1787.1106","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2965.5212","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139477.74","137855","11901.560934857342","131633","219839","136178.7956180529","142776.68438194707","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15029.1671","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153394.78","153223","5164.76886216526","144232","165471","151963.17911040632","154826.38088959368","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1593.5871","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2695.8648","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138099.84","137900","3833.028564187534","133042","153643","137037.37868783425","139162.30131216574","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14175.583","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153468.02","152986.5","5347.3820468238355","144950","164727","151985.8013180935","154950.23868190648","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1593.5871","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2695.8648","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137413.2","137546.5","2556.8378589059366","132617","145598","136704.48070373668","138121.91929626334","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14175.583","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153281.78","152776","5670.139357931809","138721","163735","151710.0975558156","154853.4624441844","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1333.6714","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2239.6046","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137465.66","136763.5","3855.1795882359384","131728","154487","136397.05873722283","138534.26126277717","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14273.9649","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153367.64","152490","3801.815247204623","147157","163842","152313.8305778902","154421.4494221098","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1333.6714","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2239.6046","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138600.78","138177","3655.345681690456","132077","147894","137587.56987011113","139613.99012988887","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14273.9649","50","False","500","True","System.String[]","True","ci-linux-large","True","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","System.Boolean[]","2026-09-19 03:44:30","805f67b9c6a402f317193cd3439ab00cd3c34237","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.95","145","83","0.02","161","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
