"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","FlushEarly","Common","Reference","Methods","TestKIR","JVM","Native","Dedicated","JS","CILabel","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3112.1739","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137747.74","137782.5","2658.302871290291","132924","143491","137010.89603719907","138484.5839628009","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15445.0828","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156930.6","157328","6188.774360213229","145829","170330","155215.15926760263","158646.04073239738","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1724.268","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3112.1739","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137725.18","137842","2383.7053876479877","133899","144196","137064.45057636892","138385.90942363106","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15445.0828","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158566.52","159187.5","5087.778109492255","148172","169226","157156.25985826136","159976.78014173862","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1604.8375","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2558.0008","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137288.7","137001.5","2844.400709808515","132155","145866","136500.27234811557","138077.12765188445","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14389.3836","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155025.76","155869","6053.304348292859","140121","166820","153347.86963912056","156703.65036087946","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1604.8375","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2558.0008","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137476.9","137229","2910.301613165178","131920","142814","136670.20554966084","138283.59445033915","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14389.3836","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154827.12","154201.5","5238.227760124484","140456","167872","153375.1573427312","156279.0826572688","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1702.2191","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2848.9328","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137069.82","136520","2738.6265117792914","132307","145684","136310.71145997438","137828.92854002563","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14146.9756","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153446.54","153501.5","6365.672547984484","141745","171298","151682.0655916068","155211.0144083932","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1702.2191","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2848.9328","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137940.9","136980.5","5079.835993857459","130870","166330","136532.8413003997","139348.95869960028","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14146.9756","50","False","500","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","True","False","True","ci-linux-large","System.Boolean[]","2026-05-06 12:46:09","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.84","145","86","0.04","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
