"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","CILabel","JS","TestKIR","Methods","JVM","Native","Reference","Enabled","Dedicated","Common","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"67863","71879","4973.3506813817185","62300","71879","55516.12897491838","80209.87102508162","commonmain-plain-jar","1778.8019","3","False","20","System.Boolean[]","ci-linux-small","True","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-05-09 01:52:30","b93ca96673d433e083c089b864de4fe6fe7943f0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.05","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5709.1968","3","False","20","System.Boolean[]","ci-linux-small","True","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-05-09 01:52:30","b93ca96673d433e083c089b864de4fe6fe7943f0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.05","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"10199","10496","309.6982402274834","9878","10496","9430.141241839568","10967.858758160432","commonmain-plain-linux-exe","15180.5859","3","False","20","System.Boolean[]","ci-linux-small","True","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-05-09 01:52:30","b93ca96673d433e083c089b864de4fe6fe7943f0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.05","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"100195","107489","12595.492685877754","85651","107489","68925.35230109982","131464.6476989002","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1997.8161","3","False","20","System.Boolean[]","ci-linux-small","True","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-05-09 01:52:30","b93ca96673d433e083c089b864de4fe6fe7943f0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.05","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3810.0701","3","False","20","System.Boolean[]","ci-linux-small","True","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-05-09 01:52:30","b93ca96673d433e083c089b864de4fe6fe7943f0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.05","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"44038.666666666664","44851","1136.4287629822352","42740","44851","41217.36162210937","46859.97171122396","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","17649.2381","3","False","20","System.Boolean[]","ci-linux-small","True","System.Boolean[]","System.String[]","True","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-05-09 01:52:30","b93ca96673d433e083c089b864de4fe6fe7943f0","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.62","14.05","145","86","0.02","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
