"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Common","Reference","Dedicated","JS","FlushEarly","JVM","CILabel","Native","Enabled","InstrumentPropertyAccessors","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4429.6492","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"245964.08","243449.5","13439.440197039306","226486","293075","242238.8572349184","249689.30276508158","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","27692.578","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197529.82","193239.5","11696.325450694821","185189","231334","194287.76399186876","200771.87600813125","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4024.6877","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4429.6492","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"241024.24","232943.5","18978.464283325702","221840","286868","235763.67808983143","246284.80191016855","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","27692.578","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197337.22","191977.5","13344.930752437307","187107","241888","193638.19391643078","201036.24608356922","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4626.2553","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4902.7955","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224643.64","223600.5","4403.544345925293","220472","248341","223423.03978124232","225864.2402187577","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26777.0052","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197941.68","195027","9434.806954191332","190139","237401","195326.4849372141","200556.8750627859","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4626.2553","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4902.7955","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225882.36","223634","5724.945823680922","219738","248736","224295.48597857062","227469.23402142935","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26777.0052","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199718.76","197223","9072.591638736161","191108","231131","197203.96590029082","202233.5540997092","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3066.0333","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4426.4075","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226268.34","222988.5","14243.088253763288","220354","317506","222320.3573586044","230216.32264139559","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20762.5263","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200132.08","195407","12290.40406808233","188935","243190","196725.353800455","203538.80619954498","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3066.0333","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4426.4075","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233926.8","231046.5","15036.038344658502","218884","278782","229759.02280712992","238094.57719287006","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20762.5263","50","False","500","System.String[]","True","True","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","2026-06-23 02:32:47","a3933f6eb7037c1cbd907a38ec1c3fd2df84541a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.29","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.88","High performance","0.16","135","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
