"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Dedicated","FlushEarly","JS","Enabled","Native","CILabel","Reference","Common","TestKIR","InstrumentPropertyAccessors","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4524.2097","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222830.28","219629.5","12494.866059240787","215552","300579","219366.87982796133","226293.68017203867","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","26002.6791","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187832.8","187053","3431.485803019813","182926","203781","186881.64066270262","188783.95933729736","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4342.7546","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4524.2097","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222477.72","219540.5","13504.386554216902","217067","309777","218734.49502316554","226220.94497683446","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","26002.6791","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189071.4","188084.5","5887.508457466085","183532","224899","187439.46591540956","190703.33408459043","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3842.593","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3934.2611","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222667.34","220058.5","6457.419594607147","216600","242824","220877.43460774908","224457.24539225092","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26036.8357","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187434.5","186992","2407.3446736084593","182706","195166","186767.21810060216","188101.78189939784","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3842.593","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3934.2611","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221098.74","219528","4512.07998920449","215860","244509","219848.05523581192","222349.42476418806","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26036.8357","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187286.7","186848","2920.873270661585","182509","196931","186477.07523570483","188096.3247642952","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3679.1722","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5699.1899","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224295.64","220037.5","14607.847331611649","216529","315026","220246.55130056562","228344.7286994344","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25224.0698","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187749","186757.5","3415.0473926254012","183457","203695","186802.39715759564","188695.60284240436","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3679.1722","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5699.1899","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220122.52","218666","4350.9172818463685","215456","237149","218916.50725916488","221328.5327408351","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25224.0698","50","False","500","System.String[]","False","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","True","2026-06-24 02:34:03","e5841fb84287a0680844833ebdb5aa0c365c50c2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.18","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.28","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
