"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","Enabled","TestKIR","CILabel","Dedicated","Common","Methods","JVM","InstrumentPropertyAccessors","FlushEarly","JS","Native","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"78222.33333333333","97547","16736.957230432698","68351","97547","36671.060254989374","119773.60641167729","commonmain-plain-jar","1891.4679","3","False","20","True","System.Boolean[]","System.Boolean[]","ci-linux-small","False","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-06-19 02:52:02","ab94a3eaa43fbb31665e895c1425cf654802a254","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.98","145","85","0.09","152","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5857.3289","3","False","20","True","System.Boolean[]","System.Boolean[]","ci-linux-small","False","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-06-19 02:52:02","ab94a3eaa43fbb31665e895c1425cf654802a254","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.98","145","85","0.09","152","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"10077","10439","487.24942278057136","9523","10439","8867.351582759133","11286.648417240867","commonmain-plain-linux-exe","15811.8314","3","False","20","True","System.Boolean[]","System.Boolean[]","ci-linux-small","False","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-06-19 02:52:02","ab94a3eaa43fbb31665e895c1425cf654802a254","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.98","145","85","0.09","152","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"186421.33333333334","237947","44899.29008718661","155681","237947","74954.07929481412","297888.5873718526","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2117.1757","3","False","20","True","System.Boolean[]","System.Boolean[]","ci-linux-small","False","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-06-19 02:52:02","ab94a3eaa43fbb31665e895c1425cf654802a254","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.98","145","85","0.09","152","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4038.4253","3","False","20","True","System.Boolean[]","System.Boolean[]","ci-linux-small","False","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-06-19 02:52:02","ab94a3eaa43fbb31665e895c1425cf654802a254","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.98","145","85","0.09","152","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"69181","82200","22386.954035777177","43331","82200","13603.010062765548","124758.98993723445","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","19381.3023","3","False","20","True","System.Boolean[]","System.Boolean[]","ci-linux-small","False","True","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","2026-06-19 02:52:02","ab94a3eaa43fbb31665e895c1425cf654802a254","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.98","145","85","0.09","152","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
