"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","TestKIR","Common","FlushEarly","InstrumentPropertyAccessors","Native","Reference","CILabel","JVM","JS","Enabled","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5640.6134","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"279436.28","280033.5","10184.681300134342","249469","305257","276613.2303730729","282259.32962692715","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24500.8724","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"238243.66","242827.5","19944.35603721473","194210","272053","232715.36655507714","243771.95344492287","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2831.0664","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5640.6134","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"243825.8","238833","24553.632936234648","216845","358306","237019.88018202505","250631.71981797492","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24500.8724","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"207037.86","208972.5","18861.473410762428","183407","271634","201809.7263052474","212265.99369475257","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2767.5958","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4417.6234","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220340.2","218725","5255.34999319935","215963","248168","218883.49130186165","221796.90869813837","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19316.8103","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"344872.7","187746.5","684507.6053100922","179885","4961308","155136.87196049586","534608.5280395042","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2767.5958","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4417.6234","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247752.56","243502.5","18773.554074227904","225735","337740","242548.7963019993","252956.3236980007","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19316.8103","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215550.82","215132.5","5430.624005525309","206821","232705","214045.5278243305","217056.11217566952","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2522.9655","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3841.8096","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"244849.1","240323","16035.664901292079","227057","322951","240404.2404621248","249293.9595378752","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20392.8829","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215116.9","215016.5","4490.347071945622","206553","231841","213872.23929313407","216361.56070686592","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2522.9655","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3841.8096","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"250545.78","244794","22315.886897272012","227357","343438","244360.1317383248","256731.4282616752","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20392.8829","50","False","500","System.String[]","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","True","System.Boolean[]","False","2026-04-29 02:11:36","a113f4bc6ed7927b15f5c97f4fafd5aaa1ffe405","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.17","140","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
